Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,207.25,0.08564750044123787,25,7.9584
Strawberry Sunshine - R,190.67,0.08207885458951962,23,8.29
Mango Hurricane - S,123.69,0.05324557363076353,21,5.89
Very Berry - R,116.06,0.042823750220618934,14,7.105714285714286
Strawberry Sunshine - S,100.13,0.04310355960585619,17,5.89
Tropical Tornado - R,82.9,0.03568645851718245,10,8.290000000000001
Very Berry - S,76.57,0.032961545580948846,13,5.89
Hawaiian Sunset - R,33.16,0.014274583406872977,4,8.29
Hawaiian Sunset - S,29.45,0.012677517531134174,5,5.89
Tropical Tornado - S,23.56,0.010142014024907338,4,5.89
Pirates Nectar - R,16.58,0.007137291703436488,2,8.29
Pirates Nectar - S,5.89,0.0025355035062268345,1,5.89
Banana's A Whey - R,105.48,0.04540660608434746,12,8.790000000000001
Ripped Berry - R,87.9,0.037838838403622885,11,7.990909090909091
Strawberry Storm - R,70.32,0.030271070722898304,9,7.813333333333333
Nuttin' Better - R,35.16,0.015135535361449152,5,7.031999999999999
Funky Monkey - R,74.61,0.0321178126654642,9,8.29
Funky Monkey - S,35.34,0.01521302103736101,6,5.890000000000001
Canadian Colada - R,33.16,0.014274583406872977,4,8.29
Pineapple Freeze - R,33.16,0.014274583406872977,4,8.29
Canadian Colada - S,11.78,0.005071007012453669,2,5.89
Oatrageous Mocha - S,10.58,0.0045544358397079645,2,5.29
Berry Cream Sensation - R,8.29,0.003568645851718244,1,8.29
Mangosicle - R,8.29,0.003568645851718244,2,4.145
Pea (Not) Butter 2.0 - R,8.29,0.003568645851718244,1,8.29
Berry Cream Sensation - S,5.89,0.0025355035062268345,1,5.89
Pea (Not) Butter 2.0 - S,5.89,0.0025355035062268345,1,5.89
Pineapple Freeze - S,5.89,0.0025355035062268345,1,5.89
Pomegranate Punch - R,74.32,0.031992974632050655,8,9.29
High Impact Acai - R,55.74,0.01999560914503166,6,7.741666666666667
Mind Over Matcha - R,55.74,0.01999560914503166,7,6.635714285714286
Acai Avalanche - R,27.87,0.011997365487018996,3,9.290000000000001
Pomegranate Passion - R,44.95,0.01934989517909953,5,8.99
Brazilian Thunder - R,26.97,0.011609937107459717,3,8.99
Ocean Mist - R,26.97,0.011609937107459717,3,8.99
Pomegranate Passion - S,23.96,0.010314204415822575,4,5.99
Brazilian Thunder - S,17.97,0.00773565331186693,3,5.989999999999999
Ocean Mist - S,17.97,0.00773565331186693,3,5.989999999999999
Matcha Monsoon - R,8.99,0.0038699790358199056,1,8.99
Matcha Monsoon - S,5.99,0.0025785511039556437,1,5.99
Tropi-Kale - R,63.63,0.027391186434841,7,9.09
Tropi-Kale - S,42.63,0.018351190911791167,8,5.32875
Spinach is in it - R,18.18,0.007826053267097429,2,9.09
Coco Crush - S,6.09,0.002621598701684452,1,6.09
Spinach is in it - S,6.09,0.002621598701684452,1,6.09
$ Whey Protein,26.25,0.011299994403812293,15,1.75
$ Collagen,2.0,0.0008609519545761748,2,1.0
$ Add WowButter,1.5,0.0006457139659321311,2,0.75
$ Blueberry,1.5,0.0006457139659321311,2,0.75
$ Chia Seeds,1.0,0.0004304759772880874,1,1.0
$ Pea Protein,1.0,0.0004304759772880874,1,1.0
$ Strawberry,0.75,0.00032285698296606553,1,0.75
$ Add Honey,0.5,0.0002152379886440437,1,0.5
$ Density Booster,0.5,0.0002152379886440437,1,0.5
$ Energy Booster,0.5,0.0002152379886440437,1,0.5
$ Power Booster,0.5,0.0002152379886440437,1,0.5
Add Chocolate Almond Milk,0.0,0.0,1,0.0
Add Vanilla Almond Milk,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,3,0.0
Density Booster,0.0,0.0,4,0.0
Energy Booster,0.0,0.0,11,0.0
No Ice,0.0,0.0,1,0.0
No Skim Milk,0.0,0.0,1,0.0
Power Booster,0.0,0.0,5,0.0
Warrior Booster,0.0,0.0,3,0.0
Oat Nog - R,17.98,0.007739958071639811,2,8.99
Lemon Berry - S,11.98,0.005157102207911287,2,5.99
Chipotle Chicken Wrap,17.58,0.007567767680724576,4,4.395
Chipotle Chicken Panini,8.79,0.003783883840362288,2,4.395
Pesto Chicken Panini,8.79,0.003783883840362288,2,4.395
Chicken Quesadilla,0.0,0.0,2,0.0
Egg White & Cheese Wrap,11.38,0.004898816621538435,2,5.69
Booster Ball (2),20.0,0.008609519545761748,4,5.0
Booster Ball (1),11.0,0.004735235750168962,4,2.75
Booster Ball (3),6.75,0.00290571284669459,1,6.75
Lemon Ginger Tumeric & Coconut S,6.58,0.0028325319305556153,2,3.29
Birthday Cake - Booster Ball,0.0,0.0,1,0.0
Candy Cane - Booster Ball,0.0,0.0,5,0.0
Chocolate Chip - Booster Ball,0.0,0.0,5,0.0
Monster - Booster Ball,0.0,0.0,1,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,3,0.0
Mango Teazer - TB,19.96,0.008592300506670226,4,4.99
Almighty Acai Blend,5.99,0.0025785511039556437,1,5.99
Drink - Bottled Water - 500 ml,14.94,0.006431311100684026,6,2.4899999999999998
$ Kale,1.5,0.0006457139659321311,2,0.75
$ Ginger,0.75,0.00032285698296606553,1,0.75
$ Spinach,0.75,0.00032285698296606553,1,0.75
Allergy: ,0.0,0.0,310,0.0
ALLERGY: fruit,0.0,0.0,1,0.0
ALLERGY: milk/dairy,0.0,0.0,2,0.0
No Pineapple,0.0,0.0,1,0.0
Split In 2 Cups,0.0,0.0,2,0.0
