Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Mango Hurricane - R,273.57,0.11849464447917964,33,7.787575757575758
Strawberry Sunshine - R,149.22,0.06880334195565269,18,8.29
Strawberry Sunshine - S,94.24,0.043452800870531494,16,5.89
Tropical Tornado - R,91.19,0.04204648675067665,11,8.29
Hawaiian Sunset - R,82.9,0.0382240788642515,10,8.290000000000001
Very Berry - R,82.9,0.0382240788642515,10,8.290000000000001
Mango Hurricane - S,82.46,0.03802120076171506,14,5.89
Tropical Tornado - S,41.23,0.01901060038085753,7,5.89
Very Berry - S,41.23,0.01901060038085753,7,5.89
Pirates Nectar - R,24.87,0.011467223659275449,3,8.290000000000001
Hawaiian Sunset - S,11.78,0.005431600108816437,2,5.89
Pirates Nectar - S,5.89,0.0027158000544082184,1,5.89
Strawberry Storm - R,105.48,0.048635414217144124,12,8.790000000000001
Banana's A Whey - R,79.11,0.03647656066285809,9,8.79
Nuttin' Better - R,70.32,0.028370658293334072,8,7.69125
Ripped Berry - R,70.32,0.032423609478096076,8,8.79
Brazilian Thunder - R,62.93,0.029016179528677282,7,8.99
Ocean Mist - R,53.94,0.024871011024580527,6,8.99
Pomegranate Passion - R,53.94,0.024871011024580527,6,8.99
Matcha Monsoon - R,44.95,0.020725842520483775,5,8.99
Pomegranate Passion - S,17.97,0.00828572614222677,3,5.989999999999999
Matcha Monsoon - S,11.98,0.0055238174281511815,2,5.99
Brazilian Thunder - S,5.99,0.0027619087140755907,1,5.99
High Impact Acai - R,83.61,0.025700966898593226,9,6.193333333333333
Pomegranate Punch - R,65.03,0.029984461381692095,7,9.290000000000001
Mind Over Matcha - R,55.74,0.025700966898593226,6,9.290000000000001
Acai Avalanche - R,37.16,0.017133977932395482,4,9.29
Funky Monkey - R,74.61,0.03440167097782634,9,8.29
Funky Monkey - S,17.67,0.008147400163224657,3,5.890000000000001
Berry Cream Sensation - R,16.58,0.007644815772850299,2,8.29
Canadian Colada - R,16.58,0.007644815772850299,2,8.29
Mangosicle - R,16.58,0.007644815772850299,2,8.29
Oatrageous Mocha - R,8.29,0.0038224078864251493,1,8.29
Pineapple Freeze - R,8.29,0.0038224078864251493,1,8.29
Berry Cream Sensation - S,5.89,0.0027158000544082184,1,5.89
Lemon Berry - R,53.94,0.024871011024580527,6,8.99
Oat Nog - R,8.99,0.004145168504096754,1,8.99
Lemon Berry - S,5.99,0.0027619087140755907,1,5.99
Tropi-Kale - R,36.36,0.016765108655056506,4,9.09
Spinach is in it - R,9.09,0.004191277163764127,1,9.09
Coco Crush - S,6.09,0.0028080173737429627,1,6.09
Tropi-Kale - S,6.09,0.0028080173737429627,1,6.09
$ Whey Protein,14.0,0.006455212353432098,8,1.75
$ Chia Seeds,1.0,0.0004610865966737213,1,1.0
$ Collagen,1.0,0.0004610865966737213,1,1.0
$ Energy Booster,1.0,0.0004610865966737213,2,0.5
$ Hemp Hearts,1.0,0.0004610865966737213,1,1.0
$ Add WowButter,0.75,0.000345814947505291,1,0.75
$ Lemon,0.75,0.000345814947505291,1,0.75
$ Add Honey,0.5,0.00023054329833686066,1,0.5
$ Warrior Booster,0.5,0.00023054329833686066,1,0.5
Add Banana,0.0,0.0,1,0.0
Add Pineapple Juice,0.0,0.0,1,0.0
Combo Booster,0.0,0.0,4,0.0
Density Booster,0.0,0.0,3,0.0
Energy Booster,0.0,0.0,12,0.0
No Ice,0.0,0.0,4,0.0
Power Booster,0.0,0.0,4,0.0
Warrior Booster,0.0,0.0,7,0.0
Wilderness Booster,0.0,0.0,2,0.0
Booster Ball (4),25.5,0.011757708215179893,3,8.5
Booster Ball (2),20.0,0.009221731933474427,4,5.0
Booster Ball (3),6.75,0.003112334527547619,1,6.75
Booster Ball (1),2.75,0.0012679881408527336,1,2.75
Lemon & Ginger Shot - S,6.58,0.003033949806113086,2,3.29
Lemon & Ginger Shot - D,4.29,0.0019780614997302643,1,4.29
Lemon Ginger Tumeric & Coconut S,3.29,0.001516974903056543,1,3.29
Birthday Cake - Booster Ball,0.0,0.0,3,0.0
Candy Cane - Booster Ball,0.0,0.0,3,0.0
Chocolate Chip - Booster Ball,0.0,0.0,4,0.0
Monster - Booster Ball,0.0,0.0,8,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,6,0.0
Mango Teazer - TB,19.96,0.009203288469607478,4,4.99
Drink - Bottled Water - 500 ml,19.92,0.009184845005740528,8,2.49
$ Ginger,1.5,0.000691629895010582,2,0.75
Allergy: ,0.0,0.0,280,0.0
