Name,Gross Sales Total,Percent of Total Sales,Quantity Sold,Average Price
Strawberry Sunshine - R,140.93,0.10413187722590848,17,8.290000000000001
Mango Hurricane - R,124.35,0.09188106814050748,15,8.29
Mango Hurricane - S,76.57,0.05657686680754851,13,5.89
Tropical Tornado - R,66.32,0.04900323634160399,8,8.29
Strawberry Sunshine - S,47.12,0.034816533420029855,8,5.89
Very Berry - R,33.16,0.024501618170801993,4,8.29
Very Berry - S,29.45,0.02176033338751866,5,5.89
Hawaiian Sunset - R,24.87,0.018376213628101497,3,8.290000000000001
Pirates Nectar - R,24.87,0.018376213628101497,3,8.290000000000001
Hawaiian Sunset - S,23.56,0.017408266710014927,4,5.89
Tropical Tornado - S,17.67,0.013056200032511197,3,5.890000000000001
Nuttin' Better - R,79.11,0.05845364938154842,9,8.79
Ripped Berry - R,61.53,0.04546394951898211,7,8.790000000000001
Banana's A Whey - R,35.16,0.02597939972513263,4,8.79
Strawberry Storm - R,26.37,0.019484549793849476,3,8.790000000000001
Pomegranate Punch - R,46.45,0.03432147659932909,5,9.290000000000001
High Impact Acai - R,37.16,0.02745718127946327,4,9.29
Mind Over Matcha - R,37.16,0.020592885959597455,4,6.9675
Acai Avalanche - R,18.58,0.013728590639731635,2,9.29
Ocean Mist - R,44.95,0.03321314043358111,5,8.99
Matcha Monsoon - R,35.96,0.02657051234686489,4,8.99
Pomegranate Passion - R,17.98,0.013285256173432444,2,8.99
Brazilian Thunder - R,8.99,0.006642628086716222,1,8.99
Brazilian Thunder - S,5.99,0.004425955755220264,1,5.99
Pineapple Freeze - R,24.87,0.018376213628101497,3,8.290000000000001
Canadian Colada - R,16.58,0.012250809085400997,2,8.29
Oatrageous Mocha - R,16.58,0.012250809085400997,2,8.29
Funky Monkey - S,11.78,0.008704133355007464,2,5.89
Mangosicle - R,8.29,0.006125404542700498,1,8.29
Berry Cream Sensation - S,5.89,0.004352066677503732,1,5.89
Mangosicle - S ,5.29,0.00390873221120454,1,5.29
Tropi-Kale - R,45.45,0.03358258582216377,5,9.09
Tropi-Kale - S,24.36,0.01799937933174718,4,6.09
Spinach is in it - R,18.18,0.013433034328865508,2,9.09
Lemon Berry - S,11.98,0.008851911510440527,2,5.99
Gingerbread - S,5.99,0.004425955755220264,1,5.99
$ Whey Protein,7.0,0.005172235440157236,4,1.75
$ Collagen,2.0,0.001477781554330639,2,1.0
$ Add WowButter,0.75,0.0005541680828739896,1,0.75
$ Energy Booster,0.5,0.00036944538858265974,1,0.5
Add Oat Milk,0.0,0.0,2,0.0
Combo Booster,0.0,0.0,2,0.0
Density Booster,0.0,0.0,1,0.0
Energy Booster,0.0,0.0,8,0.0
Power Booster,0.0,0.0,3,0.0
Warrior Booster,0.0,0.0,3,0.0
Wilderness Booster,0.0,0.0,1,0.0
Booster Ball (2),30.0,0.022166723314959585,6,5.0
Booster Ball (4),25.5,0.018841714817715648,3,8.5
Booster Ball (3),6.75,0.004987512745865907,1,6.75
Booster Ball (1),2.75,0.0020319496372046284,1,2.75
Birthday Cake - Booster Ball,0.0,0.0,4,0.0
Canadian Maple - Booster Ball,0.0,0.0,2,0.0
Candy Cane - Booster Ball,0.0,0.0,4,0.0
Chocolate Chip - Booster Ball,0.0,0.0,5,0.0
Monster - Booster Ball,0.0,0.0,4,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,9,0.0
Drink - Bottled Water - 500 ml,14.94,0.011039028210849873,6,2.4899999999999998
Mango Teazer - TB,9.98,0.007374129956109888,2,4.99
$ Spinach,2.25,0.001662504248621969,3,0.75
$ Kale,0.75,0.0005541680828739896,1,0.75
Allergy: ,0.0,0.0,173,0.0
