Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,273.57,0.0,273.57,0.10787800876999273,33.0,0.03556034482758621,0.11496904824942951,0.2932688699977488,8.29
Strawberry Sunshine - R,132.64,0.0,132.64,0.052304489100602536,16.0,0.017241379310344827,0.055742568848208246,0.1421909672716358,8.29
Very Berry - R,91.19,0.0,91.19,0.03595933625666425,11.0,0.011853448275862068,0.038323016083143174,0.09775628999924961,8.29
Mango Hurricane - S,88.35,0.0,88.35,0.034839427111265336,15.0,0.016163793103448277,0.037129493046887806,0.09471179100157587,5.89
Very Berry - S,76.57,0.0,76.57,0.030194170163096626,13.0,0.014008620689655173,0.03217889397396943,0.08208355220136575,5.89
Tropical Tornado - R,66.32,0.0,66.32,0.026152244550301268,8.0,0.008620689655172414,0.027871284424104123,0.0710954836358179,8.29
Strawberry Sunshine - S,64.79,0.0,64.79,0.02554891321492792,11.0,0.011853448275862068,0.027228294901051064,0.06945531340115564,5.890000000000001
Hawaiian Sunset - R,58.03,0.0,58.03,0.022883213981513613,7.0,0.007543103448275862,0.02438737387109111,0.06220854818134067,8.290000000000001
Tropical Tornado - S,41.23,0.0,41.23,0.01625839931859049,7.0,0.007543103448275862,0.017327096755214308,0.0441988358007354,5.89
Hawaiian Sunset - S,17.67,0.0,17.67,0.0069678854222530685,3.0,0.003232758620689655,0.0074258986093775625,0.018942358200315177,5.890000000000001
Pirates Nectar - R,16.58,0.0,16.58,0.006538061137575317,2.0,0.0021551724137931034,0.006967821106026031,0.017773870908954475,8.29
Pirates Nectar - S,5.89,0.0,5.89,0.0023226284740843557,1.0,0.0010775862068965517,0.0024752995364591872,0.006314119400105058,5.89
Nuttin' Better - R,131.85,0.0,131.85,0.0519929650777627,15.0,0.016163793103448277,0.055410567721925943,0.29411764705882354,8.79
Ripped Berry - R,114.27,0.0,114.27,0.04506056973406101,14.0,0.015086206896551725,0.048022492025669154,0.25490196078431376,8.162142857142857
Banana's A Whey - R,105.48,0.0,105.48,0.041594372062210165,12.0,0.01293103448275862,0.04432845417754076,0.23529411764705885,8.790000000000001
Strawberry Storm - R,96.69,0.0,96.69,0.038128174390359315,11.0,0.011853448275862068,0.04063441632941236,0.21568627450980393,8.79
High Impact Acai - R,83.61,0.0,83.61,0.032970282974226314,9.0,0.009698275862068966,0.035137486289194,0.3103448275862069,9.29
Mind Over Matcha - R,74.32,0.0,74.32,0.029306918199312276,8.0,0.008620689655172414,0.03123332114595022,0.27586206896551724,9.29
Pomegranate Punch - R,65.03,0.0,65.03,0.025643553424398245,7.0,0.007543103448275862,0.027329156002706443,0.24137931034482762,9.290000000000001
Acai Avalanche - R,46.45,0.0,46.45,0.018316823874570176,5.0,0.005387931034482759,0.01952082571621889,0.17241379310344832,9.290000000000001
Matcha Monsoon - R,44.95,0.0,44.95,0.017725322565380612,5.0,0.005387931034482759,0.018890443830872745,0.2027423210500203,8.99
Pomegranate Passion - S,41.93,0.0,41.93,0.016534433262878956,7.0,0.007543103448275862,0.017621274968375844,0.18912092372919578,5.99
Brazilian Thunder - R,35.96,0.0,35.96,0.014180258052304488,4.0,0.004310344827586207,0.015112355064698196,0.16219385684001625,8.99
Pomegranate Passion - R,35.96,0.0,35.96,0.014180258052304488,4.0,0.004310344827586207,0.015112355064698196,0.16219385684001625,8.99
Ocean Mist - R,26.97,0.0,26.97,0.010635193539228366,3.0,0.003232758620689655,0.011334266298523646,0.12164539263001217,8.99
Brazilian Thunder - S,17.97,0.0,17.97,0.00708618568409098,3.0,0.003232758620689655,0.00755197498644679,0.08105182445536963,5.989999999999999
Ocean Mist - S,17.97,0.0,17.97,0.00708618568409098,3.0,0.003232758620689655,0.00755197498644679,0.08105182445536963,5.989999999999999
Funky Monkey - R,74.61,0.0,74.61,0.02942127511908893,9.0,0.009698275862068966,0.03135519497711714,0.3438090410580158,8.29
Mangosicle - R,41.45,0.0,41.45,0.016345152843938296,5.0,0.005387931034482759,0.01741955276506508,0.19100502281000878,8.290000000000001
Funky Monkey - S,17.67,0.0,17.67,0.0069678854222530685,3.0,0.003232758620689655,0.0074258986093775625,0.08142481913275887,5.890000000000001
Oatrageous Mocha - R,16.58,0.0,16.58,0.006538061137575317,2.0,0.0021551724137931034,0.006967821106026031,0.0764020091240035,8.29
Pineapple Freeze - R,16.58,0.0,16.58,0.006538061137575317,2.0,0.0021551724137931034,0.006967821106026031,0.0764020091240035,8.29
Mangosicle - S ,15.87,0.0,15.87,0.00625808385122559,3.0,0.003232758620689655,0.00666944034696219,0.07313027049444726,5.29
Berry Cream Sensation - R,8.29,0.0,8.29,0.0032690305687876585,1.0,0.0010775862068965517,0.0034839105530130154,0.03820100456200175,8.29
Canadian Colada - R,8.29,0.0,8.29,0.0032690305687876585,1.0,0.0010775862068965517,0.0034839105530130154,0.03820100456200175,8.29
Canadian Colada - S,5.89,0.0,5.89,0.0023226284740843557,1.0,0.0010775862068965517,0.0024752995364591872,0.027141606377586287,5.89
Pea (Not) Butter 2.0 - S,5.89,0.0,5.89,0.0023226284740843557,1.0,0.0010775862068965517,0.0024752995364591872,0.027141606377586287,5.89
Pineapple Freeze - S,5.89,0.0,5.89,0.0023226284740843557,1.0,0.0010775862068965517,0.0024752995364591872,0.027141606377586287,5.89
Tropi-Kale - R,81.81,0.0,81.81,0.032260481403198836,9.0,0.009698275862068966,0.03438102802677863,0.4815468832774148,9.09
Tropi-Kale - S,36.54,0.0,36.54,0.014408971891857787,7.0,0.007543103448275862,0.015356102727032037,0.21508034610630405,5.22
Spinach is in it - R,36.36,0.0,36.36,0.01433799173475504,4.0,0.004310344827586207,0.0152804569007905,0.21402083701218433,9.09
Coco Crush - R,9.09,0.0,9.09,0.00358449793368876,1.0,0.0010775862068965517,0.003820114225197625,0.05350520925304608,9.09
Coco Crush - S,6.09,0.0,6.09,0.0024014953153096313,1.0,0.0010775862068965517,0.0025593504545053393,0.03584672435105068,6.09
$ Whey Protein,35.0,0.0,35.0,0.013801697214423168,20.0,0.021551724137931036,0.014708910658076665,0.7734806629834254,1.75
$ Pea Protein,3.0,0.0,3.0,0.0011830026183791286,3.0,0.003232758620689655,0.0012607637706922854,0.06629834254143646,1.0
$ Chia Seeds,2.0,0.0,2.0,0.0007886684122527524,2.0,0.0021551724137931034,0.0008405091804615237,0.04419889502762431,1.0
$ Hemp Hearts,1.0,0.0,1.0,0.0003943342061263762,1.0,0.0010775862068965517,0.00042025459023076184,0.022099447513812154,1.0
$ Add WowButter,0.75,0.0,0.75,0.00029575065459478214,1.0,0.0010775862068965517,0.00031519094267307135,0.016574585635359115,0.75
$ Banana,0.75,0.0,0.75,0.00029575065459478214,1.0,0.0010775862068965517,0.00031519094267307135,0.016574585635359115,0.75
$ Blueberry,0.75,0.0,0.75,0.00029575065459478214,1.0,0.0010775862068965517,0.00031519094267307135,0.016574585635359115,0.75
$ Pineapple,0.75,0.0,0.75,0.00029575065459478214,1.0,0.0010775862068965517,0.00031519094267307135,0.016574585635359115,0.75
$ Soy Protein,0.75,0.0,0.75,0.00029575065459478214,1.0,0.0010775862068965517,0.00031519094267307135,0.016574585635359115,0.75
$ Wilderness Booster,0.5,0.0,0.5,0.0001971671030631881,1.0,0.0010775862068965517,0.00021012729511538092,0.011049723756906077,0.5
Add Banana,0.0,0.0,0.0,0.0,1.0,0.0010775862068965517,0.0,0.0,0.0
Add Blueberry,0.0,0.0,0.0,0.0,1.0,0.0010775862068965517,0.0,0.0,0.0
Add Chocolate Almond Milk,0.0,0.0,0.0,0.0,1.0,0.0010775862068965517,0.0,0.0,0.0
Add Vanilla Almond Milk,0.0,0.0,0.0,0.0,1.0,0.0010775862068965517,0.0,0.0,0.0
Combo Booster,0.0,0.0,0.0,0.0,5.0,0.005387931034482759,0.0,0.0,0.0
Density Booster,0.0,0.0,0.0,0.0,3.0,0.003232758620689655,0.0,0.0,0.0
Energy Booster,0.0,0.0,0.0,0.0,21.0,0.022629310344827586,0.0,0.0,0.0
No Ice,0.0,0.0,0.0,0.0,1.0,0.0010775862068965517,0.0,0.0,0.0
Power Booster,0.0,0.0,0.0,0.0,2.0,0.0021551724137931034,0.0,0.0,0.0
Warrior Booster,0.0,0.0,0.0,0.0,12.0,0.01293103448275862,0.0,0.0,0.0
Wilderness Booster,0.0,0.0,0.0,0.0,3.0,0.003232758620689655,0.0,0.0,0.0
Lemon Berry - R,17.98,0.0,17.98,0.007090129026152244,2.0,0.0021551724137931034,0.007556177532349098,0.40008900756564303,8.99
Lemon Berry - S,17.97,0.0,17.97,0.00708618568409098,3.0,0.003232758620689655,0.00755197498644679,0.3998664886515353,5.989999999999999
Raspberry Rapture - R,8.99,0.0,8.99,0.003545064513076122,1.0,0.0010775862068965517,0.003778088766174549,0.20004450378282151,8.99
Chipotle Chicken Wrap,26.37,0.0,26.37,0.010398593015552541,4.0,0.004310344827586207,0.3529647972159015,0.3529647972159015,6.5925
Chipotle Chicken Panini,17.58,0.0,17.58,0.006932395343701693,3.0,0.003232758620689655,0.23530986481060098,0.23530986481060098,5.859999999999999
Pesto Chicken Panini,17.58,0.0,17.58,0.006932395343701693,2.0,0.0021551724137931034,0.23530986481060098,0.23530986481060098,8.79
Artisan Grilled Cheese,13.18,0.0,13.18,0.005197324836745639,2.0,0.0021551724137931034,0.17641547316289655,0.17641547316289655,6.59
Lemon & Ginger Shot - S,13.16,0.0,13.16,0.005189438152623111,4.0,0.004310344827586207,0.2326321371751812,0.4488403819918145,3.29
Lemon & Ginger Shot - D,8.58,0.0,8.58,0.003383387488564308,2.0,0.0021551724137931034,0.1516704967297154,0.29263301500682126,4.29
Lemon Ginger Tumeric and Coconut,4.29,0.0,4.29,0.001691693744282154,1.0,0.0010775862068965517,0.0758352483648577,0.14631650750341063,4.29
Lemon Ginger Tumeric & Coconut S,3.29,0.0,3.29,0.0012973595381557779,1.0,0.0010775862068965517,0.0581580342937953,0.11221009549795362,3.29
Booster Ball (2),15.0,0.0,15.0,0.005915013091895643,3.0,0.003232758620689655,0.265158211065936,0.5504587155963303,5.0
