Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,182.38,0.0,182.38,0.0708376381757308,22.0,0.021847070506454815,0.07619326133728825,0.23177023764137758,8.29
Very Berry - R,157.51,0.0,157.51,0.0611779602426766,20.0,0.019860973187686197,0.06580327115493076,0.2001652052357352,7.8755
Strawberry Sunshine - R,124.35,0.0,124.35,0.048298389665271,15.0,0.014895729890764648,0.051949950911787446,0.15802516202821199,8.29
Tropical Tornado - R,107.77,0.0,107.77,0.0418586043765682,14.0,0.013902681231380337,0.04502329079021578,0.1369551404244504,7.697857142857143
Hawaiian Sunset - R,66.32,-4.57,61.75,0.023984121928672976,8.0,0.007944389275074478,0.02579742234662545,0.07847248697420257,7.71875
Mango Hurricane - S,53.01,0.0,53.01,0.02058944620953772,9.0,0.00893743793445879,0.022146094876026156,0.06736561189477698,5.89
Strawberry Sunshine - S,41.23,0.0,41.23,0.016014013718529337,8.0,0.007944389275074478,0.017224740459131454,0.05239547591815987,5.15375
Very Berry - S,23.56,0.0,23.56,0.009150864982016765,4.0,0.003972194637537239,0.009842708833789402,0.029940271953234215,5.89
Pirates Nectar - S,17.67,0.0,17.67,0.006863148736512575,3.0,0.0029791459781529296,0.007382031625342052,0.022455203964925664,5.890000000000001
Tropical Tornado - S,17.67,0.0,17.67,0.006863148736512575,3.0,0.0029791459781529296,0.007382031625342052,0.022455203964925664,5.890000000000001
Pirates Nectar - R,8.29,-8.29,0.0,0.0,1.0,0.0009930486593843098,0.0,0.0,0.0
Ripped Berry - R,237.33,0.0,237.33,0.09218059364100335,28.0,0.027805362462760674,0.09914983393562135,0.45000000000000007,8.476071428571428
Banana's A Whey - R,158.22,0.0,158.22,0.061453729094002235,18.0,0.01787487586891758,0.06609988929041423,0.3,8.79
Strawberry Storm - R,114.27,0.0,114.27,0.044383248790112725,13.0,0.012909632571996028,0.04773880893196583,0.21666666666666667,8.79
Nuttin' Better - R,17.58,0.0,17.58,0.006828192121555803,2.0,0.0019860973187686196,0.007344432143379358,0.03333333333333333,8.79
