Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,190.67,0.0,190.67,0.14154529122681983,23.0,0.04466019417475728,0.1492769848663968,0.4011065297879502,8.29
Strawberry Sunshine - R,82.9,-8.29,74.61,0.05538728787136429,10.0,0.019417475728155338,0.05841273320859005,0.15695472904745877,7.461
Mango Hurricane - S,70.68,0.0,70.68,0.0524698231704601,12.0,0.02330097087378641,0.05533590648952078,0.14868731066980817,5.890000000000001
Strawberry Sunshine - S,41.23,-5.89,35.34,0.02623491158523005,7.0,0.013592233009708738,0.02766795324476039,0.07434365533490409,5.048571428571429
Tropical Tornado - R,33.16,0.0,33.16,0.024616572387273015,4.0,0.007766990291262136,0.025961214759373356,0.06975765735442611,8.29
Very Berry - R,24.87,0.0,24.87,0.018462429290454763,3.0,0.005825242718446602,0.019470911069530018,0.052318243015819596,8.290000000000001
Very Berry - S,17.67,0.0,17.67,0.013117455792615026,3.0,0.005825242718446602,0.013833976622380196,0.03717182766745204,5.890000000000001
Hawaiian Sunset - R,16.58,0.0,16.58,0.012308286193636508,2.0,0.003883495145631068,0.012980607379686678,0.03487882867721306,8.29
Tropical Tornado - S,11.78,0.0,11.78,0.008744970528410017,2.0,0.003883495145631068,0.009222651081586795,0.024781218444968025,5.89
Nuttin' Better - R,52.74,0.0,52.74,0.03915193087167609,6.0,0.011650485436893204,0.04129054482537246,0.2857142857142857,8.790000000000001
Strawberry Storm - R,52.74,0.0,52.74,0.03915193087167609,6.0,0.011650485436893204,0.04129054482537246,0.2857142857142857,8.790000000000001
Ripped Berry - R,43.95,0.0,43.95,0.03262660905973007,5.0,0.009708737864077669,0.034408787354477055,0.23809523809523808,8.790000000000001
Banana's A Whey - R,35.16,0.0,35.16,0.026101287247784054,4.0,0.007766990291262136,0.02752702988358164,0.19047619047619044,8.79
Funky Monkey - R,41.45,0.0,41.45,0.030770715484091275,5.0,0.009708737864077669,0.0324515184492167,0.2485309989207339,8.290000000000001
Berry Cream Sensation - R,33.16,0.0,33.16,0.024616572387273015,4.0,0.007766990291262136,0.025961214759373356,0.1988247991365871,8.29
Canadian Colada - R,33.16,0.0,33.16,0.024616572387273015,4.0,0.007766990291262136,0.025961214759373356,0.1988247991365871,8.29
Pineapple Freeze - S,17.67,0.0,17.67,0.013117455792615026,3.0,0.005825242718446602,0.013833976622380196,0.10594795539033458,5.890000000000001
Mangosicle - S ,10.58,0.0,10.58,0.007854141612103393,2.0,0.003883495145631068,0.008283162007061825,0.06343686293320543,5.29
Mangosicle - R,8.29,0.0,8.29,0.006154143096818254,1.0,0.001941747572815534,0.006490303689843339,0.049706199784146775,8.29
Oatrageous Mocha - R,8.29,0.0,8.29,0.006154143096818254,1.0,0.001941747572815534,0.006490303689843339,0.049706199784146775,8.29
Pineapple Freeze - R,8.29,0.0,8.29,0.006154143096818254,1.0,0.001941747572815534,0.006490303689843339,0.049706199784146775,8.29
Pea (Not) Butter 2.0 - S,5.89,0.0,5.89,0.004372485264205008,1.0,0.001941747572815534,0.004611325540793397,0.03531598513011152,5.89
Brazilian Thunder - R,35.96,0.0,35.96,0.026695173191988473,4.0,0.007766990291262136,0.028153355933264956,0.24003738068219746,8.99
Pomegranate Passion - R,35.96,0.0,35.96,0.026695173191988473,4.0,0.007766990291262136,0.028153355933264956,0.24003738068219746,8.99
Matcha Monsoon - R,26.97,0.0,26.97,0.020021379893991352,3.0,0.005825242718446602,0.021115016949948714,0.1800280355116481,8.99
Brazilian Thunder - S,23.96,0.0,23.96,0.017786884028922242,4.0,0.007766990291262136,0.018758465188015248,0.15993591883051866,5.99
Pomegranate Passion - S,17.97,0.0,17.97,0.01334016302169168,3.0,0.005825242718446602,0.014068848891011435,0.11995193912288898,5.989999999999999
Ocean Mist - R,8.99,0.0,8.99,0.006673793297997118,1.0,0.001941747572815534,0.007038338983316239,0.060009345170549365,8.99
Pomegranate Punch - R,46.45,0.0,46.45,0.03448250263536887,5.0,0.009708737864077669,0.03636605625973741,0.38461538461538464,9.290000000000001
High Impact Acai - R,37.16,0.0,37.16,0.02758600210829509,4.0,0.007766990291262136,0.029092845007789924,0.30769230769230765,9.29
Mind Over Matcha - R,37.16,0.0,37.16,0.02758600210829509,4.0,0.007766990291262136,0.029092845007789924,0.30769230769230765,9.29
Tropi-Kale - R,72.72,0.0,72.72,0.05398423232818136,8.0,0.015533980582524271,0.05693303791621322,0.8888888888888888,9.09
Spinach is in it - R,9.09,0.0,9.09,0.00674802904102267,1.0,0.001941747572815534,0.007116629739526653,0.1111111111111111,9.09
Lemon Berry - R,44.95,0.0,44.95,0.033368966489985594,5.0,0.009708737864077669,0.035191694916581195,0.6818871359223301,8.99
Lemon Berry - S,11.98,0.0,11.98,0.008893442014461121,2.0,0.003883495145631068,0.009379232594007624,0.18173543689320387,5.99
