Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,273.57,-8.29,265.28,0.10039244180545936,33.0,0.0336734693877551,0.10607593418237798,0.30941855718201433,8.038787878787877
Very Berry - R,140.93,0.0,140.93,0.053333484709150294,17.0,0.017346938775510204,0.05635284003438831,0.16437860850294514,8.290000000000001
Mango Hurricane - S,106.02,0.0,106.02,0.04012216028428379,19.0,0.019387755102040816,0.042393586180698564,0.12366011547209425,5.58
Strawberry Sunshine - R,66.32,0.0,66.32,0.02509811045136484,8.0,0.00816326530612245,0.026518983545594496,0.07735463929550358,8.29
Tropical Tornado - R,66.32,0.0,66.32,0.02509811045136484,10.0,0.01020408163265306,0.026518983545594496,0.07735463929550358,6.632
Hawaiian Sunset - R,58.03,0.0,58.03,0.02196084664494424,7.0,0.007142857142857143,0.023204110602395186,0.06768530938356565,8.290000000000001
Strawberry Sunshine - S,53.01,0.0,53.01,0.020061080142141894,9.0,0.009183673469387756,0.021196793090349282,0.06183005773604713,5.89
Tropical Tornado - S,29.45,0.0,29.45,0.011145044523412162,5.0,0.00510204081632653,0.011775996161305157,0.03435003207558174,5.89
Very Berry - S,29.45,0.0,29.45,0.011145044523412162,6.0,0.006122448979591836,0.011775996161305157,0.03435003207558174,4.908333333333333
Pirates Nectar - R,24.87,0.0,24.87,0.009411791419261817,3.0,0.003061224489795918,0.009944618829597938,0.02900798973581385,8.290000000000001
Hawaiian Sunset - S,17.67,0.0,17.67,0.006687026714047298,3.0,0.003061224489795918,0.007065597696783095,0.020610019245349043,5.890000000000001
Banana's A Whey - R,140.64,0.0,140.64,0.053223737241856924,16.0,0.0163265306122449,0.05623687946098326,0.29807345866095836,8.79
Nuttin' Better - R,131.85,0.0,131.85,0.04989725366424087,15.0,0.015306122448979591,0.05272207449467181,0.2794438674946485,8.79
Ripped Berry - R,114.27,0.0,114.27,0.04324428650900875,13.0,0.013265306122448979,0.0456924645620489,0.2421846851620287,8.79
Strawberry Storm - R,87.9,-2.83,85.07,0.032193851871194314,10.0,0.01020408163265306,0.03401643441229982,0.1802979886823644,8.507
High Impact Acai - R,111.48,0.0,111.48,0.042188440185738134,13.0,0.013265306122448979,0.04457684387308315,0.35294117647058826,8.575384615384616
Mind Over Matcha - R,92.9,0.0,92.9,0.03515703348811511,10.0,0.01020408163265306,0.03714736989423596,0.29411764705882354,9.290000000000001
Acai Avalanche - R,74.32,0.0,74.32,0.028125626790492086,8.0,0.00816326530612245,0.029717895915388766,0.2352941176470588,9.29
Pomegranate Punch - R,37.16,0.0,37.16,0.014062813395246043,4.0,0.004081632653061225,0.014858947957694383,0.1176470588235294,9.29
Pomegranate Passion - R,71.92,0.0,71.92,0.027217371888753915,8.0,0.00816326530612245,0.028758222204450488,0.31173334489185556,8.99
Ocean Mist - R,44.95,0.0,44.95,0.017010857430471198,5.0,0.00510204081632653,0.017973888877781556,0.19483334055740972,8.99
Brazilian Thunder - R,35.96,0.0,35.96,0.013608685944376957,4.0,0.004081632653061225,0.014379111102225244,0.15586667244592778,8.99
Pomegranate Passion - S,23.96,0.0,23.96,0.009067411435686092,4.0,0.004081632653061225,0.00958074254753384,0.10385332235273718,5.99
Matcha Monsoon - R,17.98,0.0,17.98,0.006804342972188479,2.0,0.0020408163265306124,0.007189555551112622,0.07793333622296389,8.99
Matcha Monsoon - S,17.97,0.0,17.97,0.006800558576764569,3.0,0.003061224489795918,0.007185556910650379,0.07788999176455288,5.989999999999999
Ocean Mist - S,17.97,0.0,17.97,0.006800558576764569,3.0,0.003061224489795918,0.007185556910650379,0.07788999176455288,5.989999999999999
Funky Monkey - R,82.9,0.0,82.9,0.03137263806420606,10.0,0.01020408163265306,0.033148729431993124,0.3850083596507524,8.290000000000001
Mangosicle - R,24.87,0.0,24.87,0.009411791419261817,3.0,0.003061224489795918,0.009944618829597938,0.11550250789522572,8.290000000000001
Funky Monkey - S,23.56,0.0,23.56,0.00891603561872973,4.0,0.004081632653061225,0.009420796929044125,0.10941853984766858,5.89
Berry Cream Sensation - R,16.58,0.0,16.58,0.00627452761284121,2.0,0.0020408163265306124,0.006629745886398624,0.07700167193015046,8.29
Canadian Colada - R,16.58,0.0,16.58,0.00627452761284121,2.0,0.0020408163265306124,0.006629745886398624,0.07700167193015046,8.29
Pea (Not) Butter 2.0 - R,16.58,0.0,16.58,0.00627452761284121,2.0,0.0020408163265306124,0.006629745886398624,0.07700167193015046,8.29
Pineapple Freeze - R,16.58,0.0,16.58,0.00627452761284121,2.0,0.0020408163265306124,0.006629745886398624,0.07700167193015046,8.29
Berry Cream Sensation - S,5.89,0.0,5.89,0.0022290089046824325,1.0,0.0010204081632653062,0.0023551992322610312,0.027354634961917146,5.89
Canadian Colada - S,5.89,0.0,5.89,0.0022290089046824325,1.0,0.0010204081632653062,0.0023551992322610312,0.027354634961917146,5.89
Pineapple Freeze - S,5.89,0.0,5.89,0.0022290089046824325,1.0,0.0010204081632653062,0.0023551992322610312,0.027354634961917146,5.89
Spinach is in it - R,54.54,0.0,54.54,0.02064009264199998,7.0,0.007142857142857143,0.021808585081072435,0.25663466967814796,7.791428571428571
Tropi-Kale - R,54.54,0.0,54.54,0.02064009264199998,6.0,0.006122448979591836,0.021808585081072435,0.25663466967814796,9.09
Tropi-Kale - S,36.54,0.0,36.54,0.013828180878963682,6.0,0.006122448979591836,0.014611032249035328,0.17193675889328064,6.09
Spinach is in it - S,30.45,0.0,30.45,0.011523484065803068,5.0,0.00510204081632653,0.01217586020752944,0.1432806324110672,6.09
Coco Crush - S,18.27,0.0,18.27,0.006914090439481841,3.0,0.003061224489795918,0.007305516124517664,0.08596837944664032,6.09
Coco Crush - R,18.18,0.0,18.18,0.006880030880666659,2.0,0.0020408163265306124,0.007269528360357479,0.08554488989271598,9.09
Lemon Berry - R,44.95,0.0,44.95,0.017010857430471198,5.0,0.00510204081632653,0.017973888877781556,0.789566133848586,8.99
Lemon Berry - S,11.98,0.0,11.98,0.004533705717843046,2.0,0.0020408163265306124,0.00479037127376692,0.210433866151414,5.99
$ Whey Protein,36.75,0.0,36.75,0.013907653182865772,21.0,0.02142857142857143,0.014695003698742428,0.778766687857597,1.75
$ Pea Protein,3.0,0.0,3.0,0.001135318627172716,3.0,0.003061224489795918,0.0011995921386728512,0.06357279084551812,1.0
$ Chia Seeds,2.0,-0.32,1.68,0.000635778431216721,2.0,0.0020408163265306124,0.0006717715976567967,0.03560076287349015,0.84
$ Add WowButter,1.5,0.0,1.5,0.000567659313586358,2.0,0.0020408163265306124,0.0005997960693364256,0.03178639542275906,0.75
$ Collagen,1.0,0.0,1.0,0.00037843954239090536,1.0,0.0010204081632653062,0.0003998640462242838,0.021190930281839375,1.0
$ Hemp Hearts,1.0,0.0,1.0,0.00037843954239090536,1.0,0.0010204081632653062,0.0003998640462242838,0.021190930281839375,1.0
$ Banana,0.75,-0.24,0.51,0.00019300416661936174,1.0,0.0010204081632653062,0.0002039306635743847,0.01080737444373808,0.51
$ Pineapple,0.75,0.0,0.75,0.000283829656793179,1.0,0.0010204081632653062,0.0002998980346682128,0.01589319771137953,0.75
$ Energy Booster,0.5,0.0,0.5,0.00018921977119545268,1.0,0.0010204081632653062,0.0001999320231121419,0.010595465140919687,0.5
$ Warrior Booster,0.5,0.0,0.5,0.00018921977119545268,1.0,0.0010204081632653062,0.0001999320231121419,0.010595465140919687,0.5
Add Blueberry,0.0,0.0,0.0,0.0,1.0,0.0010204081632653062,0.0,0.0,0.0
Add Mango,0.0,0.0,0.0,0.0,1.0,0.0010204081632653062,0.0,0.0,0.0
Combo Booster,0.0,0.0,0.0,0.0,6.0,0.006122448979591836,0.0,0.0,0.0
Density Booster,0.0,0.0,0.0,0.0,4.0,0.004081632653061225,0.0,0.0,0.0
Energy Booster,0.0,0.0,0.0,0.0,15.0,0.015306122448979591,0.0,0.0,0.0
No Ice,0.0,0.0,0.0,0.0,3.0,0.003061224489795918,0.0,0.0,0.0
Power Booster,0.0,0.0,0.0,0.0,6.0,0.006122448979591836,0.0,0.0,0.0
Warrior Booster,0.0,0.0,0.0,0.0,11.0,0.011224489795918367,0.0,0.0,0.0
Wilderness Booster,0.0,0.0,0.0,0.0,1.0,0.0010204081632653062,0.0,0.0,0.0
Pesto Chicken Panini,26.37,0.0,26.37,0.009979450732848175,3.0,0.003061224489795918,0.3411384217335059,0.4000303398058253,8.790000000000001
Chipotle Chicken Wrap,17.58,0.0,17.58,0.0066529671552321154,3.0,0.003061224489795918,0.22742561448900392,0.2666868932038835,5.859999999999999
Artisan Grilled Cheese,13.18,0.0,13.18,0.0049878331687121325,2.0,0.0020408163265306124,0.17050452781371284,0.19993932038834955,6.59
Chicken Quesadilla,8.79,0.0,8.79,0.0033264835776160577,4.0,0.004081632653061225,0.11371280724450196,0.13334344660194175,2.1975
Chipotle Chicken Panini,0.0,0.0,0.0,0.0,2.0,0.0020408163265306124,0.0,0.0,0.0
Egg White & Cheese Wrap,11.38,0.0,11.38,0.004306641992408503,2.0,0.0020408163265306124,0.1472186287192756,1.0,5.69
Booster Ball (2),25.0,-1.61,23.39,0.008851700896523276,5.0,0.00510204081632653,0.5448404379221989,0.5900605449041373,4.678
Booster Ball (3),13.5,0.0,13.5,0.005108933822277222,2.0,0.0020408163265306124,0.31446540880503143,0.3405650857719475,6.75
Booster Ball (1),2.75,0.0,2.75,0.0010407087415749898,1.0,0.0010204081632653062,0.06405776846028419,0.06937436932391523,2.75
Lemon & Ginger Shot - S,3.29,0.0,3.29,0.0012450660944660786,1.0,0.0010204081632653062,0.07663638481248544,1.0,3.29
Birthday Cake - Booster Ball,0.0,0.0,0.0,0.0,1.0,0.0010204081632653062,0.0,0.0,0.0
Chocolate Chip - Booster Ball,0.0,0.0,0.0,0.0,7.0,0.007142857142857143,0.0,0.0,0.0
Monster - Booster Ball,0.0,0.0,0.0,0.0,3.0,0.003061224489795918,0.0,0.0,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,0.0,0.0,6.0,0.006122448979591836,0.0,0.0,0.0
"""Protein & Co"" Bar",7.38,0.0,7.38,0.0027928838228448816,2.0,0.0020408163265306124,0.5970873786407768,0.5970873786407768,3.69
Drink - Bottled Water - 500 ml,4.98,0.0,4.98,0.0018846289211067089,2.0,0.0020408163265306124,0.40291262135922334,0.40291262135922334,2.49
Condiments (Retail/Merchandise),0.0,0.0,0.0,0.0,2.0,0.0020408163265306124,0.0,-,0.0
Chocolate Peanut - Protein & Co,0.0,0.0,0.0,0.0,2.0,0.0020408163265306124,0.0,0.0,0.0
Matcha On My Mind Blend,5.99,0.0,5.99,0.002266852858921523,1.0,0.0010204081632653062,1.0,1.0,5.99
$ Spinach,2.25,0.0,2.25,0.0008514889703795371,3.0,0.003061224489795918,0.75,0.75,0.75
$ Ginger,0.75,0.0,0.75,0.000283829656793179,1.0,0.0010204081632653062,0.25,0.25,0.75
ALLERGY: fruit,0.0,0.0,0.0,0.0,1.0,0.0010204081632653062,0.0,0.0,0.0
No Banana,0.0,0.0,0.0,0.0,1.0,0.0010204081632653062,0.0,0.0,0.0
No Mango,0.0,0.0,0.0,0.0,1.0,0.0010204081632653062,0.0,0.0,0.0
