Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,165.8,-8.29,157.51,0.06358208834725322,21.0,0.022222222222222223,0.06793763074467855,0.2065244470085358,7.50047619047619
Strawberry Sunshine - R,99.48,-8.29,91.19,0.03681068272735713,14.0,0.014814814814814815,0.03933231253639285,0.11956678511020494,6.513571428571429
Tropical Tornado - R,91.19,0.0,91.19,0.03681068272735713,11.0,0.01164021164021164,0.03933231253639285,0.11956678511020494,8.29
Very Berry - R,91.19,-16.58,74.61,0.030117831322383107,11.0,0.01164021164021164,0.03218098298432143,0.09782736963562223,6.782727272727272
Hawaiian Sunset - R,74.61,0.0,74.61,0.030117831322383107,9.0,0.009523809523809525,0.03218098298432143,0.09782736963562223,8.29
Mango Hurricane - S,58.9,0.0,58.9,0.02377617296459409,10.0,0.010582010582010581,0.025404904138540838,0.07722868344106888,5.89
Strawberry Sunshine - S,53.01,0.0,53.01,0.02139855566813468,9.0,0.009523809523809525,0.02286441372468675,0.06950581509696199,5.89
Pirates Nectar - R,49.74,0.0,49.74,0.02007855421492207,6.0,0.006349206349206349,0.021453988656214285,0.06521824642374816,8.290000000000001
Tropical Tornado - S,47.12,0.0,47.12,0.01902093837167527,8.0,0.008465608465608466,0.02032392331083267,0.0617829467528551,5.89
Hawaiian Sunset - S,35.34,0.0,35.34,0.014265703778756455,6.0,0.006349206349206349,0.015242942483124505,0.04633721006464133,5.890000000000001
Very Berry - S,23.56,0.0,23.56,0.009510469185837636,4.0,0.004232804232804233,0.010161961655416335,0.03089147337642755,5.89
Pirates Nectar - S,5.89,0.0,5.89,0.002377617296459409,1.0,0.0010582010582010583,0.0025404904138540837,0.007722868344106888,5.89
Strawberry Storm - R,175.8,0.0,175.8,0.07096521574152193,20.0,0.021164021164021163,0.0758265220298044,0.30303030303030304,8.790000000000001
Nuttin' Better - R,158.22,0.0,158.22,0.06386869416736972,19.0,0.020105820105820106,0.06824386982682396,0.2727272727272727,8.32736842105263
Banana's A Whey - R,131.85,0.0,131.85,0.05322391180614144,16.0,0.016931216931216932,0.0568698915223533,0.22727272727272727,8.240625
Ripped Berry - R,114.27,0.0,114.27,0.046127390231989245,13.0,0.013756613756613757,0.04928723931937286,0.19696969696969696,8.79
Matcha Monsoon - R,71.92,0.0,71.92,0.029031958567293837,8.0,0.008465608465608466,0.03102072505337618,0.2727548543689321,8.99
Ocean Mist - R,53.94,0.0,53.94,0.021773968925470375,6.0,0.006349206349206349,0.023265543790032133,0.20456614077669905,8.99
