Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,207.25,0.0,207.25,0.08106786622335227,25.0,0.025329280648429583,0.09018633432259077,0.28032137205307506,8.29
Very Berry - R,116.06,-8.29,107.77,0.042155290436143175,14.0,0.014184397163120567,0.0468968938477472,0.14576711346759902,7.697857142857143
Strawberry Sunshine - R,107.77,0.0,107.77,0.042155290436143175,13.0,0.013171225937183385,0.0468968938477472,0.14576711346759902,8.29
Hawaiian Sunset - R,74.61,0.0,74.61,0.029184431840406817,9.0,0.00911854103343465,0.032467080356132674,0.10091569393910703,8.29
Tropical Tornado - R,66.32,0.0,66.32,0.025941717191472723,8.0,0.008105369807497468,0.028859626983229043,0.08970283905698401,8.29
Strawberry Sunshine - S,41.23,0.0,41.23,0.016127518091140235,7.0,0.0070921985815602835,0.01794153227561118,0.05576670769480475,5.89
Tropical Tornado - S,35.34,0.0,35.34,0.013823586935263062,6.0,0.0060790273556231,0.015378456236238158,0.04780003516697551,5.890000000000001
Very Berry - S,35.34,0.0,35.34,0.013823586935263062,6.0,0.0060790273556231,0.015378456236238158,0.04780003516697551,5.890000000000001
Mango Hurricane - S,23.56,0.0,23.56,0.009215724623508706,4.0,0.004052684903748734,0.010252304157492103,0.031866690111317,5.89
Hawaiian Sunset - S,17.67,0.0,17.67,0.006911793467631531,3.0,0.00303951367781155,0.007689228118119079,0.023900017583487754,5.890000000000001
Pirates Nectar - R,16.58,0.0,16.58,0.006485429297868181,2.0,0.002026342451874367,0.007214906745807261,0.022425709764246002,8.29
Pirates Nectar - S,5.89,0.0,5.89,0.0023039311558771766,1.0,0.0010131712259371835,0.0025630760393730257,0.00796667252782925,5.89
Nuttin' Better - R,202.17,0.0,202.17,0.07908077449638179,23.0,0.02330293819655522,0.08797573563328431,0.4225519908036367,8.79
Ripped Berry - R,123.06,-5.0,118.06,0.0461803246626247,15.0,0.015197568389057751,0.05137466166525967,0.24675514682829972,7.870666666666667
Strawberry Storm - R,87.9,0.0,87.9,0.03438294543320948,10.0,0.010131712259371834,0.038250319840558406,0.18371825687114643,8.790000000000001
Banana's A Whey - R,70.32,0.0,70.32,0.02750635634656758,8.0,0.008105369807497468,0.03060025587244672,0.14697460549691713,8.79
Mind Over Matcha - R,120.77,0.0,120.77,0.047240367690201464,13.0,0.013171225937183385,0.05255393773770464,0.3565376553597261,9.29
High Impact Acai - R,102.19,-5.0,97.19,0.03801681987091728,11.0,0.011144883485309016,0.04229293043576645,0.28692468928054793,8.835454545454546
Acai Avalanche - R,74.32,0.0,74.32,0.029070995501662436,8.0,0.008105369807497468,0.03234088476166439,0.21940778791367757,9.29
Pomegranate Punch - R,46.45,0.0,46.45,0.018169372188539024,5.0,0.005065856129685917,0.020213052976040247,0.1371298674460485,9.290000000000001
Funky Monkey - R,66.32,0.0,66.32,0.025941717191472723,8.0,0.008105369807497468,0.028859626983229043,0.28686361866862753,8.29
Mangosicle - R,33.16,0.0,33.16,0.012970858595736361,4.0,0.004052684903748734,0.014429813491614521,0.14343180933431376,8.29
Oatrageous Mocha - R,24.87,0.0,24.87,0.009728143946802272,3.0,0.00303951367781155,0.010822360118710893,0.10757385700073534,8.290000000000001
Funky Monkey - S,23.56,0.0,23.56,0.009215724623508706,4.0,0.004052684903748734,0.010252304157492103,0.1019075219516415,5.89
Berry Cream Sensation - R,16.58,0.0,16.58,0.006485429297868181,2.0,0.002026342451874367,0.007214906745807261,0.07171590466715688,8.29
Canadian Colada - R,16.58,0.0,16.58,0.006485429297868181,3.0,0.00303951367781155,0.007214906745807261,0.07171590466715688,5.526666666666666
Pineapple Freeze - R,16.58,0.0,16.58,0.006485429297868181,2.0,0.002026342451874367,0.007214906745807261,0.07171590466715688,8.29
Canadian Colada - S,11.78,0.0,11.78,0.004607862311754353,2.0,0.002026342451874367,0.0051261520787460515,0.05095376097582075,5.89
Mangosicle - S ,10.58,0.0,10.58,0.0041384705652258965,2.0,0.002026342451874367,0.00460396341198075,0.045763225052986724,5.29
Pineapple Freeze - S,5.89,0.0,5.89,0.0023039311558771766,1.0,0.0010131712259371835,0.0025630760393730257,0.025476880487910376,5.89
Oatrageous Mocha - S,5.29,0.0,5.29,0.0020692352826129482,1.0,0.0010131712259371835,0.002301981705990375,0.022881612526493362,5.29
Brazilian Thunder - R,71.92,0.0,71.92,0.028132212008605526,8.0,0.008105369807497468,0.031296507428133793,0.35298159509202454,8.99
Matcha Monsoon - R,35.96,0.0,35.96,0.014066106004302763,4.0,0.004052684903748734,0.015648253714066897,0.17649079754601227,8.99
Ocean Mist - R,35.96,0.0,35.96,0.014066106004302763,4.0,0.004052684903748734,0.015648253714066897,0.17649079754601227,8.99
Pomegranate Passion - R,17.98,0.0,17.98,0.0070330530021513816,2.0,0.002026342451874367,0.007824126857033448,0.08824539877300613,8.99
