Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,174.09,-8.29,165.8,0.08014191596216219,21.0,0.027202072538860103,0.08708486309608224,0.231852442281607,7.895238095238096
Strawberry Sunshine - S,129.58,0.0,129.58,0.06263443588888407,22.0,0.02849740932642487,0.06806065476471855,0.18120289186279032,5.890000000000001
Strawberry Sunshine - R,124.35,0.0,124.35,0.06010643697162164,15.0,0.019430051813471502,0.06531364732206167,0.17388933171120524,8.29
Mango Hurricane - S,76.57,0.0,76.57,0.03701125757070421,13.0,0.01683937823834197,0.04021765963369732,0.10707443610073972,5.89
Tropical Tornado - R,58.03,0.0,58.03,0.028049670586756767,7.0,0.009067357512953367,0.03047970208362878,0.08114835479856244,8.290000000000001
Very Berry - R,58.03,0.0,58.03,0.028049670586756767,7.0,0.009067357512953367,0.03047970208362878,0.08114835479856244,8.290000000000001
Hawaiian Sunset - R,41.45,0.0,41.45,0.020035478990540548,5.0,0.006476683937823834,0.02177121577402056,0.05796311057040175,8.290000000000001
Very Berry - S,29.45,0.0,29.45,0.014235099065655466,5.0,0.006476683937823834,0.015468330628345123,0.04118247542336143,5.89
Hawaiian Sunset - S,11.78,0.0,11.78,0.005694039626262187,2.0,0.0025906735751295338,0.00618733225133805,0.016472990169344573,5.89
Pirates Nectar - R,8.29,0.0,8.29,0.0040070957981081096,1.0,0.0012953367875647669,0.004354243154804111,0.011592622114080348,8.29
Pirates Nectar - S,5.89,0.0,5.89,0.0028470198131310934,1.0,0.0012953367875647669,0.003093666125669025,0.008236495084672286,5.89
Tropical Tornado - S,5.89,0.0,5.89,0.0028470198131310934,1.0,0.0012953367875647669,0.003093666125669025,0.008236495084672286,5.89
Ripped Berry - R,105.48,0.0,105.48,0.050985339539739855,12.0,0.015544041450777202,0.05540236043048705,0.3,8.790000000000001
Nuttin' Better - R,96.69,0.0,96.69,0.04673656124476153,11.0,0.014248704663212436,0.0507854970612798,0.27499999999999997,8.79
Strawberry Storm - R,79.11,0.0,79.11,0.03823900465480489,9.0,0.011658031088082901,0.04155177032286529,0.22499999999999998,8.79
Banana's A Whey - R,61.53,0.0,61.53,0.02974144806484825,7.0,0.009067357512953367,0.032318043584450784,0.175,8.790000000000001
Banango Burst - R,8.79,0.0,8.79,0.004248778294978321,1.0,0.0012953367875647669,0.004616863369207254,0.024999999999999994,8.79
Mind Over Matcha - R,65.03,0.0,65.03,0.03143322554293973,7.0,0.009067357512953367,0.03415638508527278,0.3333333333333333,9.290000000000001
High Impact Acai - R,46.45,0.0,46.45,0.022452303959242664,5.0,0.006476683937823834,0.02439741791805199,0.2380952380952381,9.290000000000001
Pomegranate Punch - R,46.45,0.0,46.45,0.022452303959242664,5.0,0.006476683937823834,0.02439741791805199,0.2380952380952381,9.290000000000001
Acai Avalanche - R,37.16,0.0,37.16,0.01796184316739413,4.0,0.0051813471502590676,0.019517934334441586,0.19047619047619047,9.29
Brazilian Thunder - R,35.96,0.0,35.96,0.017381805174905625,4.0,0.0051813471502590676,0.018887645819874045,0.1967607791639308,8.99
Pomegranate Passion - R,35.96,0.0,35.96,0.017381805174905625,4.0,0.0051813471502590676,0.018887645819874045,0.1967607791639308,8.99
Ocean Mist - R,26.97,0.0,26.97,0.013036353881179217,3.0,0.0038860103626943004,0.014165734364905534,0.1475705843729481,8.99
Brazilian Thunder - S,23.96,0.0,23.96,0.011581425250020544,4.0,0.0051813471502590676,0.012584760674198614,0.1311008973517181,5.99
