Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,149.22,-8.29,140.93,0.10375545722931041,18.0,0.03557312252964427,0.10828607871160084,0.2467564302347977,7.829444444444444
Strawberry Sunshine - R,107.77,0.0,107.77,0.07934240846947266,13.0,0.025691699604743084,0.08280700136769475,0.18869609370896293,8.29
Mango Hurricane - S,64.79,0.0,64.79,0.04769968121682411,11.0,0.021739130434782608,0.04978255190324713,0.11344177332656315,5.890000000000001
Hawaiian Sunset - R,58.03,0.0,58.03,0.04272283532971605,7.0,0.01383399209486166,0.04458838535183564,0.10160558892021081,8.290000000000001
Tropical Tornado - R,49.74,0.0,49.74,0.03661957313975661,6.0,0.011857707509881422,0.038218616015859116,0.08709050478875213,8.290000000000001
Strawberry Sunshine - S,35.34,0.0,35.34,0.026018007936449514,6.0,0.011857707509881422,0.027154119219952984,0.06187733090539808,5.890000000000001
Very Berry - S,35.34,0.0,35.34,0.026018007936449514,6.0,0.011857707509881422,0.027154119219952984,0.06187733090539808,5.890000000000001
Pirates Nectar - R,24.87,0.0,24.87,0.018309786569878306,3.0,0.005928853754940711,0.019109308007929558,0.043545252394376066,8.290000000000001
Very Berry - R,24.87,0.0,24.87,0.018309786569878306,3.0,0.005928853754940711,0.019109308007929558,0.043545252394376066,8.290000000000001
Hawaiian Sunset - S,17.67,0.0,17.67,0.013009003968224757,3.0,0.005928853754940711,0.013577059609976492,0.03093866545269904,5.890000000000001
Tropical Tornado - S,11.78,0.0,11.78,0.008672669312149836,2.0,0.003952569169960474,0.009051373073317659,0.02062577696846602,5.89
Ripped Berry - R,87.9,0.0,87.9,0.06471372092852043,10.0,0.019762845849802372,0.06753953252501038,0.4,8.790000000000001
Nuttin' Better - R,52.74,0.0,52.74,0.03882823255711226,6.0,0.011857707509881422,0.04052371951500623,0.24000000000000002,8.790000000000001
Strawberry Storm - R,43.95,0.0,43.95,0.032356860464260215,5.0,0.009881422924901186,0.03376976626250519,0.2,8.790000000000001
Banana's A Whey - R,35.16,0.0,35.16,0.02588548837140817,4.0,0.007905138339920948,0.02701581301000415,0.15999999999999998,8.79
Pineapple Freeze - R,66.32,0.0,66.32,0.04882609751967548,8.0,0.015810276679841896,0.05095815468781215,0.4049334473073636,8.29
Funky Monkey - R,24.87,0.0,24.87,0.018309786569878306,3.0,0.005928853754940711,0.019109308007929558,0.15185004274026137,8.290000000000001
Funky Monkey - S,17.67,0.0,17.67,0.013009003968224757,3.0,0.005928853754940711,0.013577059609976492,0.10788863109048727,5.890000000000001
Berry Cream Sensation - R,16.58,0.0,16.58,0.01220652437991887,2.0,0.003952569169960474,0.012739538671953038,0.1012333618268409,8.29
Canadian Colada - R,16.58,0.0,16.58,0.01220652437991887,2.0,0.003952569169960474,0.012739538671953038,0.1012333618268409,8.29
Mangosicle - S ,10.58,0.0,10.58,0.007789205545207579,2.0,0.003952569169960474,0.008129331673658815,0.06459885211869583,5.29
Berry Cream Sensation - S,5.89,0.0,5.89,0.004336334656074918,1.0,0.001976284584980237,0.0045256865366588295,0.03596287703016242,5.89
Oatrageous Mocha - S,5.29,0.0,5.29,0.0038946027726037896,1.0,0.001976284584980237,0.004064665836829407,0.032299426059347915,5.29
Tropi-Kale - R,63.63,0.0,63.63,0.046845666242113254,7.0,0.01383399209486166,0.04889124521691025,0.5117008443908323,9.09
Spinach is in it - R,36.36,0.0,36.36,0.02676895213835043,4.0,0.007905138339920948,0.027937854409662996,0.29240048250904704,9.09
Tropi-Kale - S,24.36,0.0,24.36,0.017934314468927848,5.0,0.009881422924901186,0.01871744041307455,0.1958986731001206,4.872
Pomegranate Passion - S,35.94,0.0,35.94,0.026459739819920638,6.0,0.011857707509881422,0.0276151399197824,0.3076001369394043,5.989999999999999
Brazilian Thunder - R,26.97,0.0,26.97,0.01985584816202726,3.0,0.005928853754940711,0.020722880457332536,0.2308284833960972,8.99
Ocean Mist - R,17.98,0.0,17.98,0.013237232108018172,2.0,0.003952569169960474,0.013815253638221692,0.15388565559739814,8.99
Pomegranate Passion - R,17.98,0.0,17.98,0.013237232108018172,2.0,0.003952569169960474,0.013815253638221692,0.15388565559739814,8.99
Brazilian Thunder - S,11.98,0.0,11.98,0.008819913273306881,2.0,0.003952569169960474,0.009205046639927468,0.10253337897980144,5.99
Matcha Monsoon - S,5.99,0.0,5.99,0.0044099566366534405,1.0,0.001976284584980237,0.004602523319963734,0.05126668948990072,5.99
Acai Avalanche - R,27.87,0.0,27.87,0.020518445987233954,3.0,0.005928853754940711,0.02141441150707667,0.37500000000000006,9.290000000000001
High Impact Acai - R,27.87,0.0,27.87,0.020518445987233954,3.0,0.005928853754940711,0.02141441150707667,0.37500000000000006,9.290000000000001
Mind Over Matcha - R,9.29,0.0,9.29,0.0068394819957446505,1.0,0.001976284584980237,0.007138137169025557,0.125,9.29
Pomegranate Punch - R,9.29,0.0,9.29,0.0068394819957446505,1.0,0.001976284584980237,0.007138137169025557,0.125,9.29
$ Whey Protein,8.75,0.0,8.75,0.006441923300620635,5.0,0.009881422924901186,0.006723218539179077,0.5,1.75
$ Chia Seeds,2.0,0.0,2.0,0.0014724396115704307,2.0,0.003952569169960474,0.0015367356660980747,0.11428571428571428,1.0
$ Collagen,2.0,0.0,2.0,0.0014724396115704307,2.0,0.003952569169960474,0.0015367356660980747,0.11428571428571428,1.0
$ Warrior Booster,2.0,0.0,2.0,0.0014724396115704307,4.0,0.007905138339920948,0.0015367356660980747,0.11428571428571428,0.5
$ Strawberry,1.5,0.0,1.5,0.001104329708677823,2.0,0.003952569169960474,0.001152551749573556,0.08571428571428572,0.75
$ Add WowButter,0.75,0.0,0.75,0.0005521648543389115,1.0,0.001976284584980237,0.000576275874786778,0.04285714285714286,0.75
$ Energy Booster,0.5,0.0,0.5,0.00036810990289260767,1.0,0.001976284584980237,0.0003841839165245187,0.02857142857142857,0.5
Combo Booster,0.0,0.0,0.0,0.0,9.0,0.017786561264822136,0.0,0.0,0.0
Density Booster,0.0,0.0,0.0,0.0,1.0,0.001976284584980237,0.0,0.0,0.0
Energy Booster,0.0,0.0,0.0,0.0,13.0,0.025691699604743084,0.0,0.0,0.0
Power Booster,0.0,0.0,0.0,0.0,5.0,0.009881422924901186,0.0,0.0,0.0
Warrior Booster,0.0,0.0,0.0,0.0,4.0,0.007905138339920948,0.0,0.0,0.0
Wilderness Booster,0.0,0.0,0.0,0.0,1.0,0.001976284584980237,0.0,0.0,0.0
Booster Ball (2),15.0,0.0,15.0,0.011043297086778231,3.0,0.005928853754940711,0.6305170239596469,0.7317073170731707,5.0
Booster Ball (1),5.5,0.0,5.5,0.004049208931818684,2.0,0.003952569169960474,0.23118957545187055,0.2682926829268293,2.75
Lemon Ginger Tumeric & Coconut S,3.29,0.0,3.29,0.0024221631610333587,1.0,0.001976284584980237,0.13829340058848255,1.0,3.29
Chocolate Chip - Booster Ball,0.0,0.0,0.0,0.0,2.0,0.003952569169960474,0.0,0.0,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,0.0,0.0,6.0,0.011857707509881422,0.0,0.0,0.0
