Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,190.67,0.0,190.67,0.108073027371094,24.0,0.03669724770642202,0.11219578213999908,0.27799323496821604,7.944583333333333
Strawberry Sunshine - R,124.35,0.0,124.35,0.0704824091550613,15.0,0.022935779816513763,0.07317116226521679,0.18129993584883655,8.29
Strawberry Sunshine - S,76.57,0.0,76.57,0.04340038656214752,13.0,0.019877675840978593,0.04505601845313751,0.11163760424564065,5.89
Tropical Tornado - R,66.32,0.0,66.32,0.0375906182160327,9.0,0.013761467889908258,0.039024619874782285,0.09669329911937949,7.368888888888888
Very Berry - R,58.03,0.0,58.03,0.03289179093902861,7.0,0.010703363914373088,0.034146542390434506,0.08460663672945706,8.290000000000001
Hawaiian Sunset - R,49.74,0.0,49.74,0.028192963662024523,6.0,0.009174311926605505,0.02926846490608672,0.07251997433953462,8.290000000000001
Mango Hurricane - S,41.23,0.0,41.23,0.023369438918079435,7.0,0.010703363914373088,0.02426093301322789,0.06011255613226804,5.89
Very Berry - S,23.56,0.0,23.56,0.013353965096045391,4.0,0.0061162079510703364,0.013863390293273081,0.03435003207558174,5.89
Pirates Nectar - S,17.67,0.0,17.67,0.010015473822034045,3.0,0.0045871559633027525,0.010397542719954812,0.025762524056686307,5.890000000000001
Tropical Tornado - S,17.67,0.0,17.67,0.010015473822034045,3.0,0.0045871559633027525,0.010397542719954812,0.025762524056686307,5.890000000000001
Hawaiian Sunset - S,11.78,0.0,11.78,0.0066769825480226955,2.0,0.0030581039755351682,0.0069316951466365405,0.01717501603779087,5.89
Pirates Nectar - R,8.29,0.0,8.29,0.004698827277004087,1.0,0.0015290519877675841,0.004878077484347786,0.012086662389922436,8.29
Funky Monkey - R,66.32,0.0,66.32,0.0375906182160327,8.0,0.012232415902140673,0.039024619874782285,0.3308885895325051,8.29
Berry Cream Sensation - R,24.87,0.0,24.87,0.014096481831012262,3.0,0.0045871559633027525,0.01463423245304336,0.12408322107468944,8.290000000000001
Funky Monkey - S,17.67,0.0,17.67,0.010015473822034045,3.0,0.0045871559633027525,0.010397542719954812,0.08816045502170336,5.890000000000001
Oatrageous Mocha - R,16.58,0.0,16.58,0.009397654554008174,2.0,0.0030581039755351682,0.009756154968695571,0.08272214738312628,8.29
Pineapple Freeze - R,16.58,0.0,16.58,0.009397654554008174,2.0,0.0030581039755351682,0.009756154968695571,0.08272214738312628,8.29
Canadian Colada - S,11.78,0.0,11.78,0.0066769825480226955,2.0,0.0030581039755351682,0.0069316951466365405,0.05877363668113556,5.89
Mangosicle - S ,10.58,0.0,10.58,0.005996814546526326,2.0,0.0030581039755351682,0.006225580191121783,0.05278650900563788,5.29
Canadian Colada - R,8.29,0.0,8.29,0.004698827277004087,1.0,0.0015290519877675841,0.004878077484347786,0.04136107369156314,8.29
Mangosicle - R,8.29,0.0,8.29,0.004698827277004087,1.0,0.0015290519877675841,0.004878077484347786,0.04136107369156314,8.29
Pea (Not) Butter 2.0 - R,8.29,0.0,8.29,0.004698827277004087,1.0,0.0015290519877675841,0.004878077484347786,0.04136107369156314,8.29
Pineapple Freeze - S,5.89,0.0,5.89,0.0033384912740113478,1.0,0.0015290519877675841,0.0034658475733182702,0.02938681834056778,5.89
Oatrageous Mocha - S,5.29,0.0,5.29,0.002998407273263163,1.0,0.0015290519877675841,0.0031127900955608915,0.02639325450281894,5.29
Brazilian Thunder - R,53.94,0.0,53.94,0.030573551667261816,6.0,0.009174311926605505,0.03173986725038837,0.27279623729327873,8.99
Matcha Monsoon - S,35.94,0.0,35.94,0.02037103164481627,6.0,0.009174311926605505,0.021148142917667,0.18176301016537702,5.989999999999999
Brazilian Thunder - S,29.95,0.0,29.95,0.01697585970401356,5.0,0.00764525993883792,0.01762345243138917,0.1514691751378142,5.99
Ocean Mist - R,26.97,0.0,26.97,0.015286775833630908,3.0,0.0045871559633027525,0.015869933625194184,0.13639811864663937,8.99
Matcha Monsoon - R,17.98,0.0,17.98,0.010191183889087272,2.0,0.0030581039755351682,0.010579955750129457,0.09093207909775958,8.99
Pomegranate Passion - S,17.97,0.0,17.97,0.010185515822408136,3.0,0.0045871559633027525,0.0105740714588335,0.09088150508268851,5.989999999999999
Pomegranate Passion - R,8.99,0.0,8.99,0.005095591944543636,1.0,0.0015290519877675841,0.0052899778750647285,0.04546603954887979,8.99
Ocean Mist - S,5.99,0.0,5.99,0.003395171940802712,1.0,0.0015290519877675841,0.0035246904862778336,0.030293835027562842,5.99
Strawberry Storm - R,70.32,0.0,70.32,0.03985784488768726,8.0,0.012232415902140673,0.041378336393164815,0.3636363636363636,8.79
Banana's A Whey - R,43.95,0.0,43.95,0.02491115305480454,5.0,0.00764525993883792,0.025861460245728014,0.2272727272727273,8.790000000000001
Nuttin' Better - R,43.95,0.0,43.95,0.02491115305480454,5.0,0.00764525993883792,0.025861460245728014,0.2272727272727273,8.790000000000001
Ripped Berry - R,35.16,0.0,35.16,0.01992892244384363,5.0,0.00764525993883792,0.020689168196582407,0.1818181818181818,7.031999999999999
Mind Over Matcha - R,55.74,0.0,55.74,0.03159380366950637,6.0,0.009174311926605505,0.03279903968366051,0.3,9.290000000000001
Pomegranate Punch - R,55.74,0.0,55.74,0.03159380366950637,7.0,0.010703363914373088,0.03279903968366051,0.3,7.9628571428571435
High Impact Acai - R,46.45,0.0,46.45,0.026328169724588645,5.0,0.00764525993883792,0.027332533069717092,0.25,9.290000000000001
Acai Avalanche - R,27.87,0.0,27.87,0.015796901834753185,3.0,0.0045871559633027525,0.016399519841830256,0.15,9.290000000000001
Tropi-Kale - R,36.36,0.0,36.36,0.02060909044534,4.0,0.0061162079510703364,0.021395283152097166,0.2994071146245059,9.09
Tropi-Kale - S,24.36,0.0,24.36,0.013807410430376305,4.0,0.0061162079510703364,0.014334133596949586,0.20059288537549408,6.09
Spinach is in it - S,18.27,0.0,18.27,0.010355557822782229,3.0,0.0045871559633027525,0.01075060019771219,0.15044466403162055,6.09
Coco Crush - R,18.18,0.0,18.18,0.01030454522267,2.0,0.0030581039755351682,0.010697641576048583,0.14970355731225296,9.09
Spinach is in it - R,18.18,0.0,18.18,0.01030454522267,2.0,0.0030581039755351682,0.010697641576048583,0.14970355731225296,9.09
Coco Crush - S,6.09,0.0,6.09,0.0034518526075940762,1.0,0.0015290519877675841,0.0035835333992373965,0.05014822134387352,6.09
Lemon Berry - R,17.98,0.0,17.98,0.010191183889087272,2.0,0.0030581039755351682,0.010579955750129457,0.6666666666666667,8.99
Raspberry Rapture - R,8.99,0.0,8.99,0.005095591944543636,1.0,0.0015290519877675841,0.0052899778750647285,0.33333333333333337,8.99
$ Whey Protein,15.75,0.0,15.75,0.008927205019639853,9.0,0.013761467889908258,0.009267758791131198,0.7078651685393258,1.75
$ Chia Seeds,2.0,0.0,2.0,0.0011336133358272828,2.0,0.0030581039755351682,0.0011768582591912633,0.0898876404494382,1.0
$ Pea Protein,2.0,0.0,2.0,0.0011336133358272828,2.0,0.0030581039755351682,0.0011768582591912633,0.0898876404494382,1.0
$ Blueberry,1.5,0.0,1.5,0.0008502100018704621,2.0,0.0030581039755351682,0.0008826436943934475,0.06741573033707865,0.75
$ Banana,0.75,0.0,0.75,0.00042510500093523106,1.0,0.0015290519877675841,0.00044132184719672374,0.033707865168539325,0.75
$ Add Coconut,0.25,0.0,0.25,0.00014170166697841035,1.0,0.0015290519877675841,0.00014710728239890791,0.011235955056179775,0.25
Add Acai,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
Add Blueberry,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
Add Vanilla Almond Milk,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
Combo Booster,0.0,0.0,0.0,0.0,8.0,0.012232415902140673,0.0,0.0,0.0
Density Booster,0.0,0.0,0.0,0.0,3.0,0.0045871559633027525,0.0,0.0,0.0
Energy Booster,0.0,0.0,0.0,0.0,10.0,0.01529051987767584,0.0,0.0,0.0
No Oat Milk,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
Warrior Booster,0.0,0.0,0.0,0.0,3.0,0.0045871559633027525,0.0,0.0,0.0
Wilderness Booster,0.0,0.0,0.0,0.0,2.0,0.0030581039755351682,0.0,0.0,0.0
Booster Ball (4),8.5,0.0,8.5,0.004817856677265952,1.0,0.0015290519877675841,0.2982456140350877,0.2982456140350877,8.5
Booster Ball (1),8.25,0.0,8.25,0.004676155010287542,3.0,0.0045871559633027525,0.2894736842105263,0.2894736842105263,2.75
Booster Ball (3),6.75,0.0,6.75,0.0038259450084170794,1.0,0.0015290519877675841,0.23684210526315788,0.23684210526315788,6.75
Booster Ball (2),5.0,0.0,5.0,0.002834033339568207,1.0,0.0015290519877675841,0.17543859649122806,0.17543859649122806,5.0
Birthday Cake - Booster Ball,0.0,0.0,0.0,0.0,2.0,0.0030581039755351682,0.0,0.0,0.0
Chocolate Chip - Booster Ball,0.0,0.0,0.0,0.0,5.0,0.00764525993883792,0.0,0.0,0.0
Monster - Booster Ball,0.0,0.0,0.0,0.0,2.0,0.0030581039755351682,0.0,0.0,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,0.0,0.0,3.0,0.0045871559633027525,0.0,0.0,0.0
Egg White & Cheese Wrap,11.38,0.0,11.38,0.006450259880857239,2.0,0.0030581039755351682,0.5642042637580565,1.0,5.69
Pesto Chicken Panini,8.79,0.0,8.79,0.0049822306109609076,2.0,0.0030581039755351682,0.4357957362419434,1.0,4.395
Chicken Quesadilla,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
Chipotle Chicken Panini,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
Chipotle Chicken Wrap,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
Mango Teazer - TB,9.98,0.0,9.98,0.005656730545778142,2.0,0.0030581039755351682,1.0,1.0,4.99
"""Protein & Co"" Bar",3.69,0.0,3.69,0.0020915166046013367,1.0,0.0015290519877675841,0.5970873786407768,0.5970873786407768,3.69
Drink - Bottled Water - 500 ml,2.49,0.0,2.49,0.0014113486031049672,1.0,0.0015290519877675841,0.40291262135922334,0.40291262135922334,2.49
Condiments (Retail/Merchandise),0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,-,0.0
Caramel Cashew - Protein & Co,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
ALLERGY: fish,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
ALLERGY: milk/dairy,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
No Banana,0.0,0.0,0.0,0.0,1.0,0.0015290519877675841,0.0,0.0,0.0
