Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,232.12,0.0,232.12,0.09178839477076631,28.0,0.029258098223615466,0.09812309773419008,0.2600871737985591,8.290000000000001
Strawberry Sunshine - R,165.8,0.0,165.8,0.06556313912197594,21.0,0.0219435736677116,0.07008792695299292,0.1857765527132565,7.895238095238096
Mango Hurricane - S,117.8,0.0,117.8,0.04658225445457639,20.0,0.02089864158829676,0.049797091646939476,0.13199323226551032,5.89
Strawberry Sunshine - S,106.02,0.0,106.02,0.04192402900911874,18.0,0.018808777429467086,0.04481738248224553,0.1187939090389593,5.89
Tropical Tornado - R,82.9,0.0,82.9,0.03278156956098797,10.0,0.01044932079414838,0.03504396347649646,0.09288827635662825,8.290000000000001
Very Berry - R,58.03,0.0,58.03,0.022947098692691577,7.0,0.0073145245559038665,0.02453077443354752,0.06502179344963978,8.290000000000001
Very Berry - S,35.34,0.0,35.34,0.013974676336372917,6.0,0.006269592476489028,0.014939127494081845,0.03959796967965311,5.890000000000001
Tropical Tornado - S,29.45,0.0,29.45,0.011645563613644097,5.0,0.00522466039707419,0.012449272911734869,0.03299830806637758,5.89
Hawaiian Sunset - R,24.87,0.0,24.87,0.00983447086829639,3.0,0.003134796238244514,0.010513189042948937,0.027866482906988475,8.290000000000001
Hawaiian Sunset - S,17.67,0.0,17.67,0.006987338168186459,3.0,0.003134796238244514,0.007469563747040922,0.019798984839826554,5.890000000000001
Pirates Nectar - R,16.58,0.0,16.58,0.006556313912197592,2.0,0.0020898641588296763,0.007008792695299291,0.018577655271325648,8.29
Pirates Nectar - S,5.89,0.0,5.89,0.002329112722728819,2.0,0.0020898641588296763,0.0024898545823469737,0.006599661613275517,2.945
High Impact Acai - R,111.48,-18.58,92.9,0.03673592053336287,13.0,0.013584117032392894,0.03927122083192426,0.28571428571428575,7.1461538461538465
Mind Over Matcha - R,102.19,-9.29,92.9,0.03673592053336287,13.0,0.013584117032392894,0.03927122083192426,0.28571428571428575,7.1461538461538465
Acai Avalanche - R,74.32,0.0,74.32,0.029388736426690293,9.0,0.009404388714733543,0.0314169766655394,0.22857142857142856,8.257777777777777
Pomegranate Punch - R,65.03,0.0,65.03,0.02571514437335401,7.0,0.0073145245559038665,0.02748985458234698,0.2,9.290000000000001
Nuttin' Better - R,149.43,0.0,149.43,0.059089866580198214,17.0,0.017763845350052248,0.06316790666215762,0.4358974358974359,8.790000000000001
Banana's A Whey - R,87.9,0.0,87.9,0.03475874504717542,10.0,0.01044932079414838,0.037157592154210356,0.25641025641025644,8.790000000000001
Ripped Berry - R,61.53,-8.79,52.74,0.02085524702830525,7.0,0.0073145245559038665,0.022294555292526216,0.15384615384615385,7.534285714285715
Strawberry Storm - R,52.74,0.0,52.74,0.02085524702830525,6.0,0.006269592476489028,0.022294555292526216,0.15384615384615385,8.790000000000001
Funky Monkey - R,58.03,0.0,58.03,0.022947098692691577,7.0,0.0073145245559038665,0.02453077443354752,0.19799379030331987,8.290000000000001
Mangosicle - R,41.45,0.0,41.45,0.016390784780493984,5.0,0.00522466039707419,0.01752198173824823,0.14142413593094277,8.290000000000001
Pineapple Freeze - R,41.45,0.0,41.45,0.016390784780493984,5.0,0.00522466039707419,0.01752198173824823,0.14142413593094277,8.290000000000001
Mangosicle - S ,26.45,0.0,26.45,0.010459258321931625,5.0,0.00522466039707419,0.011181095705106529,0.09024531713808047,5.29
Canadian Colada - R,24.87,0.0,24.87,0.00983447086829639,3.0,0.003134796238244514,0.010513189042948937,0.08485448155856566,8.290000000000001
Funky Monkey - S,23.56,0.0,23.56,0.009316450890915276,4.0,0.0041797283176593526,0.009959418329387895,0.08038486471732234,5.89
Canadian Colada - S,17.67,0.0,17.67,0.006987338168186459,3.0,0.003134796238244514,0.007469563747040922,0.06028864853799176,5.890000000000001
Pineapple Freeze - S,17.67,0.0,17.67,0.006987338168186459,3.0,0.003134796238244514,0.007469563747040922,0.06028864853799176,5.890000000000001
Oatrageous Mocha - R,16.58,0.0,16.58,0.006556313912197592,2.0,0.0020898641588296763,0.007008792695299291,0.0565696543723771,8.29
Berry Cream Sensation - S,11.78,0.0,11.78,0.004658225445457638,2.0,0.0020898641588296763,0.004979709164693947,0.04019243235866117,5.89
Berry Cream Sensation - R,8.29,0.0,8.29,0.003278156956098796,1.0,0.0010449320794148381,0.0035043963476496455,0.02828482718618855,8.29
Oatrageous Mocha - S,5.29,0.0,5.29,0.002091851664386325,1.0,0.0010449320794148381,0.002236219141021306,0.018049063427616096,5.29
Pomegranate Passion - R,35.96,0.0,35.96,0.01421984609666016,4.0,0.0041797283176593526,0.015201217450118367,0.23080872913992298,8.99
Pomegranate Passion - S,29.95,0.0,29.95,0.011843281162262841,5.0,0.00522466039707419,0.012660635779506258,0.1922336328626444,5.99
Brazilian Thunder - R,26.97,0.0,26.97,0.010664884572495118,3.0,0.003134796238244514,0.011400913087588775,0.1731065468549422,8.99
Matcha Monsoon - R,26.97,0.0,26.97,0.010664884572495118,4.0,0.0041797283176593526,0.011400913087588775,0.1731065468549422,6.7425
Ocean Mist - R,17.98,0.0,17.98,0.00710992304833008,3.0,0.003134796238244514,0.007600608725059184,0.11540436456996149,5.993333333333333
Brazilian Thunder - S,5.99,0.0,5.99,0.0023686562324525683,1.0,0.0010449320794148381,0.002532127155901252,0.03844672657252888,5.99
Matcha Monsoon - S,5.99,0.0,5.99,0.0023686562324525683,1.0,0.0010449320794148381,0.002532127155901252,0.03844672657252888,5.99
Ocean Mist - S,5.99,0.0,5.99,0.0023686562324525683,1.0,0.0010449320794148381,0.002532127155901252,0.03844672657252888,5.99
Tropi-Kale - R,81.81,-9.09,72.72,0.02875604027111031,9.0,0.009404388714733543,0.030740615488670957,0.5848009650180941,8.08
Spinach is in it - R,27.27,0.0,27.27,0.010783515101666367,3.0,0.003134796238244514,0.01152773080825161,0.21930036188178528,9.09
Spinach is in it - S,12.18,0.0,12.18,0.004816399484352634,2.0,0.0020898641588296763,0.005148799458911059,0.09794933655006031,6.09
Tropi-Kale - S,12.18,0.0,12.18,0.004816399484352634,2.0,0.0020898641588296763,0.005148799458911059,0.09794933655006031,6.09
Lemon Berry - R,26.97,0.0,26.97,0.010664884572495118,3.0,0.003134796238244514,0.011400913087588775,0.391380060949064,8.99
Gingerbread - R,17.98,0.0,17.98,0.00710992304833008,2.0,0.0020898641588296763,0.007600608725059184,0.26092004063270935,8.99
Lemon Berry - S,11.98,0.0,11.98,0.0047373124649051366,2.0,0.0020898641588296763,0.005064254311802504,0.17384994920911334,5.99
