Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,198.96,0.0,198.96,0.06809920523545158,24.0,0.021314387211367674,0.07141293228764739,0.2499340493687582,8.290000000000001
Strawberry Sunshine - R,149.22,0.0,149.22,0.051074403926588685,18.0,0.015985790408525755,0.05355969921573554,0.18745053702656864,8.29
Very Berry - R,116.06,0.0,116.06,0.03972453638734676,14.0,0.012433392539964476,0.04165754383446098,0.14579486213177562,8.290000000000001
Hawaiian Sunset - R,66.32,0.0,66.32,0.022699735078483857,8.0,0.007104795737122558,0.02380431076254913,0.08331134978958606,8.29
Tropical Tornado - R,66.32,0.0,66.32,0.022699735078483857,8.0,0.007104795737122558,0.02380431076254913,0.08331134978958606,8.29
Mango Hurricane - S,53.01,0.0,53.01,0.018144043373197066,10.0,0.008880994671403197,0.019026937779293266,0.06659129451667607,5.301
Strawberry Sunshine - S,35.34,0.0,35.34,0.012096028915464711,6.0,0.0053285968028419185,0.012684625186195512,0.04439419634445072,5.890000000000001
Tropical Tornado - S,35.34,0.0,35.34,0.012096028915464711,6.0,0.0053285968028419185,0.012684625186195512,0.04439419634445072,5.890000000000001
Very Berry - S,35.34,0.0,35.34,0.012096028915464711,6.0,0.0053285968028419185,0.012684625186195512,0.04439419634445072,5.890000000000001
Pirates Nectar - R,24.87,-8.29,16.58,0.005674933769620964,3.0,0.0026642984014209592,0.0059510776906372825,0.020827837447396514,5.526666666666666
Hawaiian Sunset - S,11.78,0.0,11.78,0.004032009638488237,2.0,0.0017761989342806395,0.004228208395398504,0.014798065448150238,5.89
Pirates Nectar - S,11.78,0.0,11.78,0.004032009638488237,2.0,0.0017761989342806395,0.004228208395398504,0.014798065448150238,5.89
Nuttin' Better - R,219.75,0.0,219.75,0.07521512037842021,25.0,0.022202486678507993,0.07887510992265036,0.2840909090909091,8.79
Ripped Berry - R,193.38,0.0,193.38,0.06618930593300978,22.0,0.019538188277087035,0.06941009673193231,0.25,8.79
Strawberry Storm - R,184.59,0.0,184.59,0.06318070111787298,22.0,0.019538188277087035,0.0662550923350263,0.23863636363636365,8.390454545454546
Banana's A Whey - R,175.8,0.0,175.8,0.06017209630273617,21.0,0.018650088809946713,0.06310008793812029,0.2272727272727273,8.371428571428572
Funky Monkey - R,58.03,0.0,58.03,0.01986226819367338,7.0,0.006216696269982238,0.02082877191723049,0.18361018826135106,8.290000000000001
Funky Monkey - S,47.12,0.0,47.12,0.016128038553952947,8.0,0.007104795737122558,0.016912833581594015,0.14909033380794176,5.89
Berry Cream Sensation - R,33.16,0.0,33.16,0.011349867539241928,4.0,0.003552397868561279,0.011902155381274565,0.10492010757791487,8.29
