Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,116.06,0.0,116.06,0.059809635710567945,15.0,0.02097902097902098,0.06358058507724335,0.20030375202788997,7.737333333333334
Strawberry Sunshine - R,82.9,0.0,82.9,0.04272116836469139,10.0,0.013986013986013986,0.04541470362660239,0.14307410859135,8.290000000000001
Very Berry - R,74.61,0.0,74.61,0.03844905152822225,9.0,0.012587412587412588,0.04087323326394215,0.12876669773221497,8.29
Tropical Tornado - R,66.32,0.0,66.32,0.034176934691753105,9.0,0.012587412587412588,0.03633176290128191,0.11445928687307998,7.368888888888888
Mango Hurricane - S,58.9,0.0,58.9,0.03035315822292307,10.0,0.013986013986013986,0.0322669004053906,0.10165337751544648,5.89
Hawaiian Sunset - R,58.03,0.0,58.03,0.029904817855283972,7.0,0.009790209790209791,0.03179029253862167,0.10015187601394498,8.290000000000001
Strawberry Sunshine - S,29.45,0.0,29.45,0.015176579111461535,5.0,0.006993006993006993,0.0161334502026953,0.05082668875772324,5.89
Tropical Tornado - S,29.45,0.0,29.45,0.015176579111461535,5.0,0.006993006993006993,0.0161334502026953,0.05082668875772324,5.89
Hawaiian Sunset - S,23.56,0.0,23.56,0.012141263289169228,4.0,0.005594405594405594,0.012906760162156238,0.04066135100617859,5.89
Very Berry - S,17.67,0.0,17.67,0.009105947466876922,3.0,0.004195804195804196,0.00968007012161718,0.030496013254633948,5.890000000000001
Pirates Nectar - R,16.58,0.0,16.58,0.008544233672938276,2.0,0.002797202797202797,0.009082940725320477,0.028614821718269994,8.29
Pirates Nectar - S,5.89,0.0,5.89,0.003035315822292307,1.0,0.0013986013986013986,0.0032266900405390595,0.010165337751544648,5.89
Ripped Berry - R,131.85,0.0,131.85,0.06794675571633968,15.0,0.02097902097902098,0.07223074394653226,0.37499999999999994,8.79
Nuttin' Better - R,96.69,0.0,96.69,0.0498276208586491,11.0,0.015384615384615385,0.05296921222745699,0.27499999999999997,8.79
Banana's A Whey - R,70.32,0.0,70.32,0.03623826971538116,8.0,0.011188811188811189,0.03852306343815054,0.19999999999999996,8.79
Strawberry Storm - R,43.95,0.0,43.95,0.02264891857211323,5.0,0.006993006993006993,0.02407691464884409,0.125,8.790000000000001
Banango Burst - R,8.79,0.0,8.79,0.004529783714422645,1.0,0.0013986013986013986,0.0048153829297688175,0.024999999999999994,8.79
Pomegranate Punch - R,92.9,0.0,92.9,0.04787450592376152,10.0,0.013986013986013986,0.05089295496877397,0.33333333333333337,9.290000000000001
High Impact Acai - R,83.61,0.0,83.61,0.04308705533138537,10.0,0.013986013986013986,0.04580365947189657,0.3,8.361
Mind Over Matcha - R,55.74,0.0,55.74,0.028724703554256912,6.0,0.008391608391608392,0.03053577298126438,0.2,9.290000000000001
Acai Avalanche - R,46.45,0.0,46.45,0.02393725296188076,5.0,0.006993006993006993,0.025446477484386984,0.16666666666666669,9.290000000000001
Ocean Mist - R,44.95,0.0,44.95,0.023164252328020243,5.0,0.006993006993006993,0.024624739783061247,0.2778292848754559,8.99
Pomegranate Passion - S,29.95,0.0,29.95,0.015434245989415042,5.0,0.006993006993006993,0.01640736276980388,0.18511650905494778,5.99
Brazilian Thunder - R,26.97,0.0,26.97,0.013898551396812142,3.0,0.004195804195804196,0.014774843869836747,0.1666975709252735,8.99
Matcha Monsoon - R,17.98,0.0,17.98,0.009265700931208097,3.0,0.004195804195804196,0.009849895913224499,0.11113171395018234,5.993333333333333
Pomegranate Passion - R,17.98,0.0,17.98,0.009265700931208097,2.0,0.002797202797202797,0.009849895913224499,0.11113171395018234,8.99
Brazilian Thunder - S,11.98,0.0,11.98,0.006173698395766017,2.0,0.002797202797202797,0.006562945107921552,0.07404660362197911,5.99
Matcha Monsoon - S,11.98,0.0,11.98,0.006173698395766017,2.0,0.002797202797202797,0.006562945107921552,0.07404660362197911,5.99
Funky Monkey - R,33.16,0.0,33.16,0.017088467345876553,4.0,0.005594405594405594,0.018165881450640953,0.22435723951285516,8.29
Pineapple Freeze - R,33.16,0.0,33.16,0.017088467345876553,4.0,0.005594405594405594,0.018165881450640953,0.22435723951285516,8.29
Berry Cream Sensation - R,16.58,0.0,16.58,0.008544233672938276,2.0,0.002797202797202797,0.009082940725320477,0.11217861975642758,8.29
Pea (Not) Butter 2.0 - R,16.58,0.0,16.58,0.008544233672938276,2.0,0.002797202797202797,0.009082940725320477,0.11217861975642758,8.29
Berry Cream Sensation - S,11.78,0.0,11.78,0.006070631644584614,2.0,0.002797202797202797,0.006453380081078119,0.07970230040595398,5.89
Canadian Colada - S,11.78,0.0,11.78,0.006070631644584614,2.0,0.002797202797202797,0.006453380081078119,0.07970230040595398,5.89
Mangosicle - S ,10.58,0.0,10.58,0.0054522311374961985,2.0,0.002797202797202797,0.0057959899200175306,0.07158322056833559,5.29
Canadian Colada - R,8.29,0.0,8.29,0.004272116836469138,1.0,0.0013986013986013986,0.004541470362660238,0.05608930987821379,8.29
Funky Monkey - S,5.89,0.0,5.89,0.003035315822292307,1.0,0.0013986013986013986,0.0032266900405390595,0.03985115020297699,5.89
Oatrageous Mocha - S,0.0,0.0,0.0,0.0,1.0,0.0013986013986013986,0.0,0.0,0.0
Tropi-Kale - S,48.72,0.0,48.72,0.02510706058778968,8.0,0.011188811188811189,0.02669004053905993,0.3729903536977492,6.09
Tropi-Kale - R,27.27,0.0,27.27,0.014053151523584247,3.0,0.004195804195804196,0.014939191410101894,0.20877354157096922,9.09
Coco Crush - R,18.18,0.0,18.18,0.009368767682389497,2.0,0.002797202797202797,0.00995946094006793,0.1391823610473128,9.09
