Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Strawberry Sunshine - R,140.93,0.0,140.93,0.10413187722590848,17.0,0.033268101761252444,0.11180838741411868,0.23146155993890327,8.290000000000001
Mango Hurricane - R,124.35,0.0,124.35,0.09188106814050748,15.0,0.029354207436399216,0.09865445948304588,0.2042307881813852,8.29
Mango Hurricane - S,76.57,0.0,76.57,0.05657686680754851,13.0,0.025440313111545987,0.060747663551401876,0.12575755087292856,5.89
Tropical Tornado - R,66.32,0.0,66.32,0.04900323634160399,8.0,0.015655577299412915,0.052615711724291137,0.10892308703007211,8.29
Strawberry Sunshine - S,47.12,0.0,47.12,0.034816533420029855,8.0,0.015655577299412915,0.03738317757009346,0.07738926207564834,5.89
Very Berry - R,33.16,0.0,33.16,0.024501618170801993,4.0,0.007827788649706457,0.026307855862145568,0.05446154351503606,8.29
Very Berry - S,29.45,0.0,29.45,0.02176033338751866,5.0,0.009784735812133072,0.023364485981308414,0.048368288797280216,5.89
Hawaiian Sunset - R,24.87,0.0,24.87,0.018376213628101497,3.0,0.005870841487279843,0.01973089189660918,0.040846157636277046,8.290000000000001
Pirates Nectar - R,24.87,0.0,24.87,0.018376213628101497,3.0,0.005870841487279843,0.01973089189660918,0.040846157636277046,8.290000000000001
Hawaiian Sunset - S,23.56,0.0,23.56,0.017408266710014927,4.0,0.007827788649706457,0.01869158878504673,0.03869463103782417,5.89
Tropical Tornado - S,17.67,0.0,17.67,0.013056200032511197,3.0,0.005870841487279843,0.01401869158878505,0.029020973278368133,5.890000000000001
Nuttin' Better - R,79.11,0.0,79.11,0.05845364938154842,9.0,0.01761252446183953,0.06276280088221761,0.3913043478260869,8.79
Ripped Berry - R,61.53,0.0,61.53,0.04546394951898211,7.0,0.0136986301369863,0.048815511797280366,0.3043478260869565,8.790000000000001
Banana's A Whey - R,35.16,0.0,35.16,0.02597939972513263,4.0,0.007827788649706457,0.027894578169874493,0.17391304347826084,8.79
Strawberry Storm - R,26.37,0.0,26.37,0.019484549793849476,3.0,0.005870841487279843,0.020920933627405873,0.13043478260869565,8.790000000000001
Pomegranate Punch - R,46.45,0.0,46.45,0.03432147659932909,5.0,0.009784735812133072,0.03685162559700428,0.35714285714285715,9.290000000000001
High Impact Acai - R,37.16,0.0,37.16,0.02745718127946327,4.0,0.007827788649706457,0.029481300477603417,0.2857142857142857,9.29
Mind Over Matcha - R,37.16,-9.29,27.87,0.020592885959597455,4.0,0.007827788649706457,0.022110975358202566,0.2142857142857143,6.9675
Acai Avalanche - R,18.58,0.0,18.58,0.013728590639731635,2.0,0.003913894324853229,0.014740650238801709,0.14285714285714285,9.29
Ocean Mist - R,44.95,0.0,44.95,0.03321314043358111,5.0,0.009784735812133072,0.03566158386620758,0.39474839729516115,8.99
Matcha Monsoon - R,35.96,0.0,35.96,0.02657051234686489,4.0,0.007827788649706457,0.028529267092966066,0.3157987178361289,8.99
