Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Strawberry Sunshine - R,190.67,0.0,190.67,0.07016091344968557,23.0,0.02213666987487969,0.07297367635464586,0.21559249208502942,8.29
Mango Hurricane - R,157.51,0.0,157.51,0.05795901545843591,19.0,0.01828681424446583,0.060282602206011796,0.1780981456354591,8.29
Hawaiian Sunset - R,91.19,-8.29,82.9,0.030504744978124165,11.0,0.010587102983638113,0.03172768537158516,0.09373586612392584,7.536363636363637
Tropical Tornado - R,91.19,0.0,91.19,0.03355521947593658,11.0,0.010587102983638113,0.034900453908743675,0.10310945273631843,8.29
Strawberry Sunshine - S,88.35,0.0,88.35,0.03251018358042545,15.0,0.014436958614051972,0.03381352234715981,0.09989823609226595,5.89
Very Berry - S,76.57,0.0,76.57,0.028175492436368722,12.0,0.011549566891241578,0.029305052700871838,0.08657847127996382,6.3808333333333325
Mango Hurricane - S,53.01,0.0,53.01,0.01950611014825527,10.0,0.009624639076034648,0.02028811340829589,0.059938941655359575,5.301
Very Berry - R,49.74,0.0,49.74,0.0183028469868745,6.0,0.005774783445620789,0.019036611222951097,0.056241519674355506,8.290000000000001
Tropical Tornado - S,47.12,0.0,47.12,0.017338764576226906,8.0,0.007699711260827719,0.018033878585151902,0.05327905924920851,5.89
Pirates Nectar - R,41.45,0.0,41.45,0.015252372489062083,5.0,0.004812319538017324,0.01586384268579258,0.04686793306196292,8.290000000000001
Hawaiian Sunset - S,5.89,0.0,5.89,0.0021673455720283633,1.0,0.0009624639076034649,0.002254234823143988,0.006659882406151064,5.89
Nuttin' Better - R,149.43,0.0,149.43,0.054985814741629606,18.0,0.017324350336862367,0.05719020536882956,0.3617021276595745,8.301666666666668
Ripped Berry - R,105.48,0.0,105.48,0.03881351628820913,13.0,0.012512030798845043,0.04036955673093851,0.25531914893617025,8.113846153846154
Banana's A Whey - R,87.9,0.0,87.9,0.032344596906840946,10.0,0.009624639076034648,0.03364129727578209,0.21276595744680854,8.790000000000001
