Name,Gross Sales Total,Item Discount Total,Sales Less Item Discounts,Percent of Total Sales,Quantity Sold,Percent of Total Quantity Sold,Percent of Major Group Sales,Percent of Family Group Sales,Average Price
Mango Hurricane - R,182.38,0.0,182.38,0.08172465092936139,22.0,0.02603550295857988,0.08768016307221907,0.23555699063609944,8.29
Strawberry Sunshine - R,174.09,0.0,174.09,0.07800989406893587,22.0,0.02603550295857988,0.08369470111439094,0.22484985469809493,7.913181818181818
Very Berry - R,74.61,0.0,74.61,0.03343281174382966,9.0,0.010650887573964497,0.03586915762045326,0.09636422344204068,8.29
Strawberry Sunshine - S,70.68,0.0,70.68,0.03167177501747595,12.0,0.014201183431952662,0.03397978904454679,0.09128834355828222,5.890000000000001
Tropical Tornado - R,66.32,0.0,66.32,0.02971805488340414,9.0,0.010650887573964497,0.03188369566262511,0.08565708750403615,7.368888888888888
Hawaiian Sunset - R,49.74,-5.0,44.74,0.020048036421645075,6.0,0.007100591715976331,0.021508994932838477,0.057784953180497256,7.456666666666667
Very Berry - S,47.12,0.0,47.12,0.021114516678317295,8.0,0.009467455621301775,0.022653192696364528,0.06085889570552147,5.89
Mango Hurricane - S,41.23,0.0,41.23,0.018475202093527633,7.0,0.008284023668639054,0.01982154360931896,0.05325153374233128,5.89
Tropical Tornado - S,41.23,0.0,41.23,0.018475202093527633,7.0,0.008284023668639054,0.01982154360931896,0.05325153374233128,5.89
Hawaiian Sunset - S,17.67,0.0,17.67,0.007917943754368988,3.0,0.0035502958579881655,0.008494947261136698,0.022822085889570555,5.890000000000001
Pirates Nectar - R,8.29,0.0,8.29,0.0037147568604255173,1.0,0.001183431952662722,0.003985461957828139,0.010707135938004519,8.29
Pirates Nectar - S,5.89,0.0,5.89,0.002639314584789662,1.0,0.001183431952662722,0.002831649087045566,0.007607361963190184,5.89
Strawberry Storm - R,96.69,0.0,96.69,0.043326880679679526,11.0,0.01301775147928994,0.046484236031652935,0.29729729729729726,8.79
Ripped Berry - R,87.9,0.0,87.9,0.03938807334516321,10.0,0.011834319526627219,0.04225839639241176,0.2702702702702703,8.790000000000001
Nuttin' Better - R,70.32,0.0,70.32,0.031510458676130566,8.0,0.009467455621301775,0.0338067171139294,0.21621621621621617,8.79
Banana's A Whey - R,61.53,0.0,61.53,0.027571651341614246,9.0,0.010650887573964497,0.02958087747468823,0.18918918918918917,6.836666666666667
Banango Burst - R,8.79,0.0,8.79,0.003938807334516321,1.0,0.001183431952662722,0.004225839639241175,0.02702702702702702,8.79
Pomegranate Punch - R,92.9,0.0,92.9,0.04162857808607125,10.0,0.011834319526627219,0.04466217320654212,0.3703703703703704,9.290000000000001
Mind Over Matcha - R,74.32,0.0,74.32,0.03330286246885699,10.0,0.011834319526627219,0.03572973856523369,0.2962962962962963,7.4319999999999995
High Impact Acai - R,46.45,0.0,46.45,0.020814289043035623,5.0,0.005917159763313609,0.02233108660327106,0.1851851851851852,9.290000000000001
Acai Avalanche - R,37.16,0.0,37.16,0.016651431234428495,4.0,0.004733727810650888,0.017864869282616845,0.14814814814814814,9.29
Funky Monkey - R,41.45,0.0,41.45,0.01857378430212759,5.0,0.005917159763313609,0.0199273097891407,0.18031146685227079,8.290000000000001
Canadian Colada - R,24.87,0.0,24.87,0.011144270581276554,3.0,0.0035502958579881655,0.01195638587348442,0.10818688011136247,8.290000000000001
Mangosicle - R,24.87,0.0,24.87,0.011144270581276554,3.0,0.0035502958579881655,0.01195638587348442,0.10818688011136247,8.290000000000001
Oatrageous Mocha - R,24.87,0.0,24.87,0.011144270581276554,3.0,0.0035502958579881655,0.01195638587348442,0.10818688011136247,8.290000000000001
Pineapple Freeze - R,24.87,0.0,24.87,0.011144270581276554,3.0,0.0035502958579881655,0.01195638587348442,0.10818688011136247,8.290000000000001
Mangosicle - S ,21.16,0.0,21.16,0.009481816063522793,4.0,0.004733727810650888,0.01017278347739969,0.09204802505655126,5.29
Berry Cream Sensation - R,16.58,0.0,16.58,0.007429513720851035,2.0,0.002366863905325444,0.007970923915656278,0.0721245867409083,8.29
Oatrageous Mocha - S,15.87,0.0,15.87,0.007111362047642095,3.0,0.0035502958579881655,0.007629587608049768,0.06903601879241344,5.29
Funky Monkey - S,11.78,0.0,11.78,0.005278629169579324,2.0,0.002366863905325444,0.005663298174091132,0.05124412737080216,5.89
Pineapple Freeze - S,11.78,0.0,11.78,0.005278629169579324,2.0,0.002366863905325444,0.005663298174091132,0.05124412737080216,5.89
Berry Cream Sensation - S,5.89,0.0,5.89,0.002639314584789662,1.0,0.001183431952662722,0.002831649087045566,0.02562206368540108,5.89
Canadian Colada - S,5.89,0.0,5.89,0.002639314584789662,1.0,0.001183431952662722,0.002831649087045566,0.02562206368540108,5.89
Brazilian Thunder - R,53.94,0.0,53.94,0.02417056514491585,6.0,0.007100591715976331,0.02593194427083834,0.2609452856659087,8.99
Ocean Mist - S,41.93,0.0,41.93,0.01878887275725476,7.0,0.008284023668639054,0.020158072363297214,0.20284456484930574,5.99
Brazilian Thunder - S,23.96,0.0,23.96,0.01073649871843129,4.0,0.004733727810650888,0.011518898493312694,0.11591117991388901,5.99
Matcha Monsoon - S,23.96,0.0,23.96,0.01073649871843129,4.0,0.004733727810650888,0.011518898493312694,0.11591117991388901,5.99
Matcha Monsoon - R,17.98,0.0,17.98,0.008056855048305285,3.0,0.0035502958579881655,0.00864398142361278,0.08698176188863624,5.993333333333333
Ocean Mist - R,17.98,0.0,17.98,0.008056855048305285,2.0,0.002366863905325444,0.00864398142361278,0.08698176188863624,8.99
Pomegranate Passion - S,17.97,0.0,17.97,0.008052374038823468,3.0,0.0035502958579881655,0.00863917386998452,0.08693338493541675,5.989999999999999
Pomegranate Passion - R,8.99,0.0,8.99,0.0040284275241526425,1.0,0.001183431952662722,0.00432199071180639,0.04349088094431812,8.99
Tropi-Kale - R,45.45,0.0,45.45,0.020366188094854014,5.0,0.005917159763313609,0.021850331240444987,0.4280870302345295,9.09
Coco Crush - R,18.18,0.0,18.18,0.008146475237941606,2.0,0.002366863905325444,0.008740132496177996,0.17123481209381178,9.09
Spinach is in it - R,18.18,0.0,18.18,0.008146475237941606,2.0,0.002366863905325444,0.008740132496177996,0.17123481209381178,9.09
Tropi-Kale - S,12.18,0.0,12.18,0.005457869548851967,3.0,0.0035502958579881655,0.0058556003192215605,0.11472167278892341,4.06
Coco Crush - S,6.09,0.0,6.09,0.0027289347744259835,1.0,0.001183431952662722,0.0029278001596107803,0.057360836394461705,6.09
Spinach is in it - S,6.09,0.0,6.09,0.0027289347744259835,1.0,0.001183431952662722,0.0029278001596107803,0.057360836394461705,6.09
$ Whey Protein,19.25,0.0,19.25,0.008625943252495924,11.0,0.01301775147928994,0.009254540734401892,0.5579710144927537,1.75
$ Hemp Hearts,4.0,0.0,4.0,0.0017924037927264259,4.0,0.004733727810650888,0.0019230214513042893,0.11594202898550725,1.0
$ Chia Seeds,2.0,0.0,2.0,0.0008962018963632129,2.0,0.002366863905325444,0.0009615107256521447,0.057971014492753624,1.0
$ Pea Protein,2.0,0.0,2.0,0.0008962018963632129,2.0,0.002366863905325444,0.0009615107256521447,0.057971014492753624,1.0
$ Banana,1.5,0.0,1.5,0.0006721514222724097,2.0,0.002366863905325444,0.0007211330442391085,0.043478260869565216,0.75
$ Collagen,1.0,0.0,1.0,0.00044810094818160647,1.0,0.001183431952662722,0.00048075536282607233,0.028985507246376812,1.0
$ Power Booster,1.0,0.0,1.0,0.00044810094818160647,2.0,0.002366863905325444,0.00048075536282607233,0.028985507246376812,0.5
$ Warrior Booster,1.0,0.0,1.0,0.00044810094818160647,2.0,0.002366863905325444,0.00048075536282607233,0.028985507246376812,0.5
$ Add WowButter,0.75,0.0,0.75,0.00033607571113620485,1.0,0.001183431952662722,0.00036056652211955423,0.021739130434782608,0.75
$ Combo Booster,0.5,0.0,0.5,0.00022405047409080323,1.0,0.001183431952662722,0.00024037768141303616,0.014492753623188406,0.5
$ Density Booster,0.5,0.0,0.5,0.00022405047409080323,1.0,0.001183431952662722,0.00024037768141303616,0.014492753623188406,0.5
$ Energy Booster,0.5,0.0,0.5,0.00022405047409080323,1.0,0.001183431952662722,0.00024037768141303616,0.014492753623188406,0.5
$ Wilderness Booster,0.5,0.0,0.5,0.00022405047409080323,1.0,0.001183431952662722,0.00024037768141303616,0.014492753623188406,0.5
Add Blueberry,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
Add Mango,0.0,0.0,0.0,0.0,1.0,0.001183431952662722,0.0,0.0,0.0
Add Oat Milk,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
Combo Booster,0.0,0.0,0.0,0.0,6.0,0.007100591715976331,0.0,0.0,0.0
Density Booster,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
Energy Booster,0.0,0.0,0.0,0.0,13.0,0.015384615384615385,0.0,0.0,0.0
No Ice,0.0,0.0,0.0,0.0,1.0,0.001183431952662722,0.0,0.0,0.0
No Skim Milk,0.0,0.0,0.0,0.0,1.0,0.001183431952662722,0.0,0.0,0.0
Power Booster,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
Warrior Booster,0.0,0.0,0.0,0.0,8.0,0.009467455621301775,0.0,0.0,0.0
Wilderness Booster,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
Lemon Berry - R,17.98,0.0,17.98,0.008056855048305285,2.0,0.002366863905325444,0.00864398142361278,0.7501042970379642,8.99
Lemon Berry - S,5.99,0.0,5.99,0.0026841246796078227,1.0,0.001183431952662722,0.0028797246233281735,0.2498957029620359,5.99
Chicken Quesadilla,17.58,0.0,17.58,0.007877614669032642,5.0,0.005917159763313609,0.23284768211920528,0.3333333333333333,3.5159999999999996
Pesto Chicken Panini,17.58,0.0,17.58,0.007877614669032642,4.0,0.004733727810650888,0.23284768211920528,0.3333333333333333,4.395
Chipotle Chicken Panini,8.79,0.0,8.79,0.003938807334516321,2.0,0.002366863905325444,0.11642384105960264,0.16666666666666666,4.395
Chipotle Chicken Wrap,8.79,0.0,8.79,0.003938807334516321,3.0,0.0035502958579881655,0.11642384105960264,0.16666666666666666,2.9299999999999997
Egg White & Cheese Wrap,22.76,0.0,22.76,0.010198777580613364,4.0,0.004733727810650888,0.3014569536423841,1.0,5.69
Booster Ball (2),25.0,0.0,25.0,0.011202523704540161,5.0,0.005917159763313609,0.40736516213133456,0.4854368932038835,5.0
Booster Ball (4),17.0,0.0,17.0,0.00761771611908731,2.0,0.002366863905325444,0.2770083102493075,0.3300970873786408,8.5
Booster Ball (3),6.75,0.0,6.75,0.0030246814002258438,1.0,0.001183431952662722,0.10998859377546033,0.13106796116504854,6.75
Booster Ball (1),2.75,0.0,2.75,0.001232277607499418,1.0,0.001183431952662722,0.0448101678344468,0.05339805825242718,2.75
Lemon & Ginger Shot - S,9.87,0.0,9.87,0.004422756358552456,3.0,0.0035502958579881655,0.16082776600945087,1.0,3.2899999999999996
Birthday Cake - Booster Ball,0.0,0.0,0.0,0.0,6.0,0.007100591715976331,0.0,0.0,0.0
Chocolate Chip - Booster Ball,0.0,0.0,0.0,0.0,7.0,0.008284023668639054,0.0,0.0,0.0
Monster - Booster Ball,0.0,0.0,0.0,0.0,7.0,0.008284023668639054,0.0,0.0,0.0
Oatmeal Coconut - Booster Ball,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
Drink - Bottled Water - 500 ml,7.47,0.0,7.47,0.0033473140829166003,3.0,0.0035502958579881655,1.0,1.0,2.4899999999999998
Mango Teazer - TB,4.99,0.0,4.99,0.002236023731426216,1.0,0.001183431952662722,1.0,1.0,4.99
$ Ginger,2.25,0.0,2.25,0.0010082271334086147,3.0,0.0035502958579881655,1.0,1.0,0.75
ALLERGY: milk/dairy,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
ALLERGY: peanut,0.0,0.0,0.0,0.0,1.0,0.001183431952662722,0.0,0.0,0.0
No Banana,0.0,0.0,0.0,0.0,2.0,0.002366863905325444,0.0,0.0,0.0
